token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1233,0.00154125,114,0.00114,8.11511778831482
1163,0.00145375,132,0.00132,6.173365831375122
1189,0.00148625,123,0.00123,12.15095567703247
1166,0.0014575,129,0.00129,8.61928677558899
1112,0.00139,124,0.00124,6.7537946701049805
1147,0.00143375,123,0.00123,6.423025846481323
1150,0.0014375,122,0.00122,7.213531970977783
1109,0.00138625,123,0.00123,9.436726093292236
1162,0.0014525,116,0.00116,8.349628925323486
1190,0.0014875,137,0.00137,7.878711700439453
1149,0.00143625,119,0.00119,13.899975776672363
1143,0.00142875,123,0.00123,8.205955028533936
1144,0.00143,121,0.00121,6.655026197433472
1154,0.0014425,119,0.00119,9.241809129714966
1403,0.00175375,167,0.00167,14.60653805732727
1159,0.00144875,122,0.00122,8.34341549873352
1165,0.00145625,146,0.00146,7.262754678726196
1284,0.001605,133,0.00133,12.339070081710815
1167,0.00145875,124,0.00124,7.799773216247559
1149,0.00143625,124,0.00124,6.693780422210693
1241,0.00155125,126,0.00126,10.696697235107422
1209,0.00151125,133,0.00133,9.736480474472046
1151,0.00143875,124,0.00124,8.719805002212524
1119,0.00139875,129,0.00129,10.57198977470398
1139,0.00142375,129,0.00129,7.970790863037109
1115,0.00139375,125,0.00125,6.969508171081543
1258,0.0015725,527,0.00527,18.526020050048828
1178,0.0014725,118,0.00118,8.206500053405762
1278,0.0015975,125,0.00125,7.860313653945923
1271,0.00158875,129,0.00129,15.624053239822388
1156,0.001445,133,0.00133,6.497023105621338
1344,0.00168,160,0.0016,17.67122793197632
1135,0.00141875,123,0.00123,6.781053066253662
1129,0.00141125,137,0.00137,8.89543080329895
1253,0.00156625,121,0.00121,9.555307388305664
1253,0.00156625,128,0.00128,8.429117202758789
1165,0.00145625,118,0.00118,10.499664545059204
1165,0.00145625,127,0.00127,11.417927742004395
1165,0.00145625,126,0.00126,9.787782430648804
1167,0.00145875,120,0.0012,12.474405288696289
1165,0.00145625,118,0.00118,8.643808364868164
