token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
2757,0.0002757,175,7e-05,1.2204749584197998
2757,0.0002757,181,7.240000000000001e-05,1.3912904262542725
3441,0.0003441,204,8.16e-05,1.4777748584747314
3877,0.00038770000000000005,184,7.360000000000001e-05,1.3962650299072266
2496,0.00024960000000000005,169,6.76e-05,1.350949764251709
3810,0.000381,226,9.04e-05,1.7436299324035645
3701,0.0003701,209,8.360000000000001e-05,1.4564950466156006
4204,0.00042040000000000003,176,7.04e-05,1.3896799087524414
2418,0.00024180000000000002,190,7.6e-05,1.2592692375183105
7826,0.0007826,341,0.0001364,2.4640052318573
6144,0.0006144000000000001,199,7.960000000000001e-05,1.2717621326446533
4422,0.00044220000000000007,250,0.0001,1.7926185131072998
3880,0.000388,309,0.0001236,2.086362838745117
4148,0.0004148,163,6.52e-05,1.2488529682159424
5052,0.0005052,235,9.4e-05,1.564504861831665
4706,0.0004706,217,8.680000000000001e-05,1.537257194519043
5399,0.0005399,179,7.16e-05,1.3210413455963135
7544,0.0007544000000000001,226,9.04e-05,1.700136661529541
4520,0.000452,199,7.960000000000001e-05,1.4060614109039307
3998,0.0003998,178,7.120000000000001e-05,1.2137022018432617
4888,0.0004888000000000001,192,7.680000000000001e-05,1.2988126277923584
4351,0.0004351,256,0.00010240000000000001,1.682507038116455
4361,0.00043610000000000003,268,0.0001072,1.705582618713379
4552,0.00045520000000000006,245,9.8e-05,1.6940929889678955
7551,0.0007551,216,8.64e-05,1.4282209873199463
3569,0.00035690000000000006,236,9.44e-05,1.635352611541748
4164,0.00041640000000000004,567,0.0002268,3.8067307472229004
3157,0.00031570000000000003,177,7.08e-05,1.3222427368164062
3907,0.00039070000000000006,225,9e-05,1.5581552982330322
3336,0.00033360000000000003,244,9.760000000000001e-05,1.5063672065734863
3819,0.0003819,226,9.04e-05,1.448023796081543
4083,0.0004083,219,8.760000000000002e-05,1.4387927055358887
3478,0.0003478,166,6.64e-05,1.2760179042816162
4169,0.00041690000000000005,253,0.00010120000000000001,1.5505552291870117
4766,0.00047660000000000004,195,7.8e-05,1.7119102478027344
3191,0.0003191,248,9.92e-05,1.5446767807006836
3306,0.0003306,212,8.480000000000001e-05,1.3367979526519775
3561,0.00035610000000000004,190,7.6e-05,1.1788585186004639
4286,0.0004286,208,8.32e-05,1.3613002300262451
3779,0.0003779,243,9.72e-05,1.5408525466918945
4614,0.00046140000000000005,184,7.360000000000001e-05,1.4080102443695068
5285,0.0005285,248,9.92e-05,2.048905611038208
3173,0.0003173,263,0.00010520000000000001,1.7330007553100586
3240,0.000324,312,0.00012480000000000002,2.028305768966675
2867,0.0002867,181,7.240000000000001e-05,1.1363041400909424
2796,0.0002796,194,7.76e-05,1.4437999725341797
3109,0.0003109,235,9.4e-05,1.5404322147369385
3158,0.00031580000000000003,187,7.48e-05,1.167999029159546
2682,0.0002682,182,7.28e-05,1.129335641860962
2964,0.00029640000000000005,164,6.560000000000001e-05,1.0486209392547607
3704,0.00037040000000000006,215,8.6e-05,1.4020750522613525
3124,0.00031240000000000006,191,7.64e-05,1.206705093383789
3227,0.00032270000000000004,224,8.960000000000001e-05,1.348008155822754
2743,0.0002743,177,7.08e-05,1.361635446548462
3382,0.00033820000000000003,191,7.64e-05,1.3362126350402832
2808,0.0002808,183,7.32e-05,1.5300266742706299
2960,0.000296,206,8.240000000000001e-05,1.4054713249206543
2899,0.00028990000000000005,186,7.44e-05,1.3208909034729004
2801,0.00028010000000000003,193,7.72e-05,1.3757824897766113
4053,0.0004053,223,8.92e-05,1.532078504562378
3003,0.00030030000000000004,196,7.840000000000001e-05,1.3553078174591064
3424,0.00034240000000000003,223,8.92e-05,1.7021145820617676
2756,0.00027560000000000003,170,6.8e-05,1.2793056964874268
3008,0.0003008,222,8.880000000000002e-05,1.4594333171844482
2965,0.0002965,160,6.4e-05,1.2519149780273438
2972,0.0002972,203,8.120000000000001e-05,1.3544797897338867
3134,0.00031340000000000003,244,9.760000000000001e-05,1.6007232666015625
3134,0.00031340000000000003,227,9.080000000000001e-05,1.7144129276275635
3309,0.0003309,219,8.760000000000002e-05,1.4428434371948242
3445,0.0003445,198,7.92e-05,1.3444266319274902
3390,0.000339,167,6.68e-05,1.2322118282318115
3161,0.00031610000000000004,231,9.240000000000001e-05,1.6188437938690186
3062,0.00030619999999999996,182,7.28e-05,1.3017327785491943
2764,0.00027640000000000005,187,7.48e-05,1.3580141067504883
2822,0.0002822,177,7.08e-05,1.321932077407837
2847,0.0002847,195,7.8e-05,1.270648717880249
3223,0.00032230000000000003,178,7.120000000000001e-05,1.24522066116333
3007,0.0003007,191,7.64e-05,1.2694532871246338
3393,0.0003393,284,0.00011360000000000001,1.8633332252502441
3752,0.00037520000000000007,225,9e-05,1.455005407333374
3087,0.0003087,149,5.96e-05,1.2381744384765625
3518,0.0003518,167,6.68e-05,1.2059757709503174
2812,0.0002812,176,7.04e-05,1.269179105758667
3356,0.0003356,212,8.480000000000001e-05,1.5213818550109863
2764,0.00027640000000000005,193,7.72e-05,1.3860619068145752
2957,0.0002957,222,8.880000000000002e-05,1.5875320434570312
2941,0.00029410000000000005,191,7.64e-05,1.5031445026397705
3015,0.0003015,200,8e-05,1.6548700332641602
3217,0.00032170000000000007,185,7.4e-05,1.3188018798828125
2758,0.00027580000000000004,149,5.96e-05,1.2877113819122314
4248,0.0004248,223,8.92e-05,1.477745532989502
2986,0.00029860000000000005,184,7.360000000000001e-05,1.5872118473052979
3268,0.00032680000000000003,214,8.560000000000001e-05,1.762890100479126
3240,0.000324,165,6.6e-05,1.1238629817962646
2719,0.00027190000000000005,151,6.0400000000000004e-05,1.2140228748321533
3273,0.0003273,271,0.0001084,1.7866415977478027
3049,0.00030490000000000004,217,8.680000000000001e-05,1.3911669254302979
2936,0.00029360000000000003,189,7.560000000000001e-05,1.320622444152832
2719,0.00027190000000000005,156,6.240000000000001e-05,1.1975927352905273
2996,0.0002996,197,7.880000000000002e-05,1.3361437320709229
3253,0.0003253,215,8.6e-05,1.5339605808258057
3187,0.00031870000000000005,224,8.960000000000001e-05,1.7911376953125
3208,0.0003208,194,7.76e-05,1.2625300884246826
2908,0.0002908,243,9.72e-05,1.6101038455963135
3162,0.00031620000000000004,177,7.08e-05,1.234529972076416
2727,0.0002727,171,6.840000000000001e-05,1.1491656303405762
2845,0.0002845,193,7.72e-05,1.3553340435028076
2838,0.0002838,187,7.48e-05,1.2987685203552246
2901,0.0002901,246,9.84e-05,1.9583618640899658
2897,0.0002897,165,6.6e-05,1.2141523361206055
3400,0.00034,221,8.840000000000001e-05,1.7641520500183105
2758,0.00027580000000000004,199,7.960000000000001e-05,1.494194746017456
2991,0.0002991,183,7.32e-05,1.2727622985839844
2892,0.0002892,246,9.84e-05,1.6732401847839355
2734,0.00027340000000000003,201,8.04e-05,1.3843638896942139
2909,0.0002909,205,8.2e-05,1.5762302875518799
3201,0.00032010000000000003,184,7.360000000000001e-05,1.2413623332977295
2711,0.00027110000000000003,148,5.92e-05,1.016800880432129
3002,0.0003002,195,7.8e-05,1.2992901802062988
2925,0.0002925,197,7.880000000000002e-05,1.2754175662994385
3368,0.0003368,180,7.2e-05,1.2177793979644775
2757,0.0002757,195,7.8e-05,1.3392629623413086
3033,0.0003033,174,6.960000000000001e-05,1.1973860263824463
2910,0.000291,201,8.04e-05,1.4404687881469727
3018,0.0003018,175,7e-05,1.254321813583374
3270,0.000327,348,0.00013920000000000002,2.287365436553955
3715,0.0003715,196,7.840000000000001e-05,1.6448259353637695
