token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
786,0.0006288000000000001,319,0.001276,5.294459581375122
657,0.0005256,357,0.001428,5.508617639541626
495,0.000396,320,0.00128,4.960375070571899
658,0.0005264,294,0.001176,4.573325157165527
743,0.0005944,332,0.001328,5.389216423034668
980,0.000784,367,0.001468,5.718916654586792
1413,0.0011304000000000002,310,0.00124,6.065925121307373
603,0.0004824,322,0.001288,5.030521631240845
568,0.00045440000000000004,352,0.001408,5.1652350425720215
556,0.0004448,314,0.001256,4.665728569030762
595,0.000476,298,0.001192,4.5520102977752686
700,0.00056,327,0.001308,5.317104816436768
867,0.0006936,330,0.00132,5.209583759307861
658,0.0005264,353,0.001412,5.8892059326171875
748,0.0005984,312,0.001248,5.149656295776367
608,0.00048640000000000006,291,0.001164,4.442032814025879
592,0.0004736,311,0.001244,4.657222270965576
700,0.00056,343,0.001372,5.243967056274414
618,0.0004944,308,0.001232,4.739708423614502
527,0.0004216,282,0.001128,4.318992376327515
546,0.0004368,283,0.001132,4.45927619934082
698,0.0005584,350,0.0014,5.356337785720825
594,0.00047520000000000006,315,0.00126,5.068397521972656
610,0.000488,341,0.001364,5.21460747718811
537,0.00042960000000000003,300,0.0012,4.6628944873809814
806,0.0006448000000000001,307,0.001228,4.819228172302246
572,0.0004576,321,0.001284,5.04251503944397
970,0.000776,316,0.001264,5.172350168228149
689,0.0005512000000000001,321,0.001284,5.097377061843872
717,0.0005736000000000001,325,0.0013,5.126614093780518
595,0.000476,317,0.001268,4.801703929901123
552,0.0004416,263,0.001052,4.0580894947052
567,0.0004536,308,0.001232,4.918922185897827
585,0.000468,262,0.001048,4.05447244644165
655,0.000524,294,0.001176,4.547463417053223
650,0.00052,298,0.001192,4.444728136062622
1140,0.000912,311,0.001244,4.941495180130005
529,0.00042320000000000004,262,0.001048,4.100644111633301
552,0.0004416,261,0.001044,4.294327974319458
516,0.0004128,252,0.001008,3.9607489109039307
530,0.000424,299,0.001196,5.092288494110107
617,0.0004936000000000001,313,0.001252,6.381556987762451
682,0.0005456,282,0.001128,4.478817462921143
653,0.0005224,293,0.001172,4.647813558578491
691,0.0005528000000000001,317,0.001268,4.740645408630371
535,0.000428,332,0.001328,5.24196720123291
587,0.00046960000000000003,304,0.001216,5.097803354263306
510,0.000408,280,0.00112,4.368682622909546
838,0.0006704000000000001,311,0.001244,4.602381944656372
577,0.0004616,261,0.001044,4.0940563678741455
510,0.000408,261,0.001044,3.9096128940582275
524,0.00041920000000000005,253,0.001012,4.106226921081543
580,0.000464,327,0.001308,5.050350904464722
551,0.00044080000000000004,304,0.001216,4.869762897491455
637,0.0005096,292,0.001168,4.811729192733765
529,0.00042320000000000004,279,0.001116,4.168920993804932
518,0.00041440000000000004,283,0.001132,4.386489391326904
1874,0.0014992,336,0.001344,6.422386884689331
724,0.0005792000000000001,281,0.001124,4.582634925842285
555,0.000444,306,0.001224,4.686568021774292
602,0.0004816,302,0.001208,4.828318357467651
710,0.000568,369,0.001476,5.640011787414551
550,0.00044,299,0.001196,4.856929063796997
738,0.0005903999999999999,302,0.001208,4.525539875030518
529,0.00042320000000000004,297,0.001188,4.46399450302124
516,0.0004128,258,0.001032,4.104515552520752
759,0.0006072,300,0.0012,4.684739828109741
533,0.0004264,322,0.001288,4.866790056228638
687,0.0005496,268,0.001072,4.444511651992798
524,0.00041920000000000005,300,0.0012,4.765621185302734
468,0.00037440000000000005,266,0.001064,4.225615501403809
525,0.00042,288,0.001152,4.449436664581299
566,0.0004528,288,0.001152,4.436945199966431
554,0.00044320000000000004,288,0.001152,4.429065942764282
706,0.0005648000000000001,341,0.001364,5.091846466064453
614,0.0004912,314,0.001256,4.905171871185303
639,0.0005112000000000001,292,0.001168,4.567918062210083
764,0.0006112,296,0.001184,4.300812005996704
615,0.000492,291,0.001164,4.411115884780884
708,0.0005664,332,0.001328,5.103304624557495
648,0.0005184,277,0.001108,4.164910793304443
574,0.00045920000000000005,292,0.001168,4.651274919509888
537,0.00042960000000000003,282,0.001128,4.634944915771484
532,0.00042560000000000005,298,0.001192,4.318074703216553
602,0.0004816,275,0.0011,4.196782112121582
624,0.0004992000000000001,263,0.001052,4.223660707473755
585,0.000468,312,0.001248,4.644029378890991
526,0.00042080000000000004,272,0.001088,4.31768798828125
1091,0.0008728000000000001,278,0.001112,4.495657920837402
563,0.00045040000000000005,267,0.001068,4.207799911499023
2501,0.0020008,374,0.001496,6.800119876861572
727,0.0005816,328,0.001312,4.820520877838135
1572,0.0012576000000000002,364,0.001456,6.780159950256348
606,0.0004848,339,0.001356,5.515870571136475
542,0.0004336,290,0.00116,4.4214043617248535
596,0.0004768,257,0.001028,3.9111287593841553
551,0.00044080000000000004,291,0.001164,4.376718759536743
675,0.00054,319,0.001276,4.851585388183594
