token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1388,0.0001388,407,0.0001628,2.371852397918701
1257,0.0001257,120,4.8e-05,0.8041863441467285
1107,0.00011070000000000001,385,0.000154,2.0925440788269043
1247,0.0001247,115,4.6e-05,0.860382080078125
1330,0.000133,148,5.92e-05,0.9026174545288086
1555,0.0001555,113,4.52e-05,0.9131577014923096
1819,0.0001819,110,4.4e-05,0.7659199237823486
1209,0.00012090000000000001,129,5.16e-05,0.9550490379333496
1179,0.0001179,452,0.0001808,2.3405396938323975
1167,0.0001167,130,5.2e-05,0.867875337600708
1197,0.00011970000000000001,106,4.240000000000001e-05,0.7707841396331787
1302,0.00013020000000000002,132,5.28e-05,0.9245951175689697
1459,0.0001459,117,4.6800000000000006e-05,0.7610719203948975
1263,0.0001263,129,5.16e-05,0.9278860092163086
1339,0.0001339,111,4.440000000000001e-05,0.7773866653442383
1218,0.0001218,113,4.52e-05,0.8013219833374023
1206,0.0001206,437,0.00017480000000000002,2.720932960510254
1315,0.0001315,123,4.92e-05,0.8135287761688232
1220,0.000122,332,0.0001328,1.8085088729858398
1141,0.00011410000000000001,109,4.36e-05,0.7462811470031738
1156,0.0001156,112,4.4800000000000005e-05,0.9370195865631104
1294,0.0001294,130,5.2e-05,0.8266406059265137
1208,0.00012080000000000001,356,0.00014240000000000002,1.9831416606903076
1219,0.00012190000000000001,130,5.2e-05,0.9340553283691406
1148,0.00011480000000000001,112,4.4800000000000005e-05,0.8239226341247559
1407,0.0001407,133,5.3200000000000006e-05,0.87947678565979
1183,0.00011830000000000002,126,5.0400000000000005e-05,1.1187539100646973
1542,0.0001542,129,5.16e-05,0.8281219005584717
1275,0.0001275,517,0.0002068,2.876398801803589
1312,0.00013120000000000002,140,5.6e-05,0.9291112422943115
1200,0.00012,336,0.00013440000000000001,1.8013391494750977
1168,0.0001168,277,0.00011080000000000001,1.5332717895507812
1174,0.00011740000000000001,113,4.52e-05,0.8409607410430908
1194,0.0001194,321,0.0001284,1.8858585357666016
1257,0.0001257,404,0.00016160000000000002,2.3876469135284424
1253,0.0001253,116,4.64e-05,0.7947959899902344
1723,0.00017230000000000001,161,6.440000000000001e-05,0.9655654430389404
1137,0.0001137,299,0.00011960000000000001,1.6934764385223389
1167,0.0001167,285,0.000114,1.7763440608978271
1130,0.000113,342,0.00013680000000000002,1.823256015777588
1146,0.00011460000000000001,366,0.0001464,2.3467931747436523
1227,0.0001227,102,4.08e-05,0.7163269519805908
1250,0.000125,102,4.08e-05,0.7198874950408936
1258,0.00012580000000000002,294,0.00011760000000000001,1.8357634544372559
1289,0.00012890000000000002,370,0.000148,2.301311492919922
1152,0.00011520000000000001,352,0.0001408,2.01617693901062
1199,0.0001199,323,0.00012920000000000002,2.0839717388153076
1125,0.0001125,320,0.000128,1.814194917678833
1416,0.0001416,117,4.6800000000000006e-05,0.9043314456939697
1183,0.00011830000000000002,105,4.2e-05,0.7742931842803955
1127,0.0001127,101,4.0400000000000006e-05,0.8180725574493408
1139,0.0001139,106,4.240000000000001e-05,0.7142453193664551
1185,0.0001185,114,4.5600000000000004e-05,0.9964554309844971
1158,0.00011580000000000001,111,4.440000000000001e-05,0.8022449016571045
1236,0.0001236,118,4.72e-05,0.8459103107452393
1139,0.0001139,303,0.0001212,1.6408302783966064
1133,0.00011330000000000002,348,0.00013920000000000002,2.0738680362701416
2347,0.0002347,108,4.32e-05,0.7524821758270264
1324,0.0001324,325,0.00013,1.9611821174621582
1165,0.0001165,384,0.00015360000000000002,2.161435842514038
1204,0.0001204,335,0.000134,1.7128963470458984
1307,0.0001307,197,7.880000000000002e-05,1.292616367340088
1160,0.000116,112,4.4800000000000005e-05,0.8013756275177002
1331,0.00013309999999999998,122,4.880000000000001e-05,0.7940599918365479
1139,0.0001139,107,4.2800000000000004e-05,0.7440662384033203
1129,0.0001129,302,0.00012080000000000001,1.873098611831665
1303,0.00013030000000000002,102,4.08e-05,1.0063271522521973
1144,0.0001144,274,0.00010960000000000001,1.7266864776611328
1291,0.0001291,114,4.5600000000000004e-05,0.8684539794921875
1137,0.0001137,109,4.36e-05,0.884490966796875
1087,0.0001087,101,4.0400000000000006e-05,0.7230093479156494
1138,0.00011380000000000001,103,4.1200000000000005e-05,0.8480830192565918
1175,0.0001175,107,4.2800000000000004e-05,0.7510569095611572
1166,0.00011660000000000002,303,0.0001212,1.7954401969909668
1290,0.000129,110,4.4e-05,0.8707799911499023
1226,0.0001226,104,4.16e-05,0.8596818447113037
1242,0.0001242,326,0.0001304,1.8237476348876953
1345,0.0001345,107,4.2800000000000004e-05,0.7337832450866699
1223,0.00012230000000000002,106,4.240000000000001e-05,0.7575607299804688
1316,0.0001316,116,4.64e-05,0.8041915893554688
1228,0.0001228,146,5.84e-05,0.8941411972045898
1185,0.0001185,106,4.240000000000001e-05,0.8265137672424316
1151,0.0001151,338,0.0001352,1.8944413661956787
1144,0.0001144,365,0.000146,1.9619545936584473
1202,0.00012020000000000001,327,0.0001308,1.8291077613830566
1227,0.0001227,102,4.08e-05,1.1105756759643555
1187,0.0001187,387,0.00015480000000000002,2.258378028869629
1138,0.00011380000000000001,346,0.0001384,2.2222182750701904
1672,0.00016720000000000003,111,4.440000000000001e-05,0.8411777019500732
1175,0.0001175,274,0.00010960000000000001,1.5134384632110596
2917,0.0002917,128,5.1200000000000004e-05,0.9157943725585938
1328,0.0001328,412,0.00016480000000000002,2.3059396743774414
2106,0.00021060000000000002,149,5.96e-05,1.0372083187103271
1216,0.00012160000000000001,126,5.0400000000000005e-05,0.8640358448028564
1154,0.0001154,334,0.0001336,1.905350685119629
1206,0.0001206,109,4.36e-05,0.7844810485839844
1164,0.00011640000000000001,397,0.0001588,2.1382360458374023
1270,0.000127,412,0.00016480000000000002,2.4666857719421387
1154,0.0001154,317,0.00012680000000000002,1.7655820846557617
2330,0.000233,130,5.2e-05,0.919093132019043
1263,0.0001263,143,5.72e-05,0.8961377143859863
1386,0.00013859999999999998,139,5.56e-05,0.8545069694519043
1102,0.00011020000000000001,304,0.00012160000000000001,1.697113275527954
1309,0.0001309,107,4.2800000000000004e-05,0.7530612945556641
