token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1334,0.000667,103,0.0001545,1.0856342315673828
1208,0.000604,113,0.0001695,1.1161377429962158
1061,0.0005305,107,0.0001605,1.036736011505127
1199,0.0005995,107,0.0001605,1.0658745765686035
1272,0.000636,139,0.0002085,1.3563227653503418
1502,0.000751,103,0.0001545,1.111217975616455
2039,0.0010195,104,0.000156,0.906437873840332
1162,0.000581,122,0.000183,1.6656787395477295
1131,0.0005655,147,0.0002205,1.4122843742370605
1119,0.0005595,120,0.00018,1.1934478282928467
1147,0.0005735,100,0.00015,1.4910125732421875
1248,0.000624,125,0.0001875,1.0264837741851807
1406,0.000703,104,0.000156,0.9673862457275391
1215,0.0006075,123,0.0001845,1.6148333549499512
1288,0.000644,106,0.000159,1.8575050830841064
1165,0.0005825,96,0.000144,0.8727903366088867
1148,0.000574,165,0.0002475,1.4280242919921875
1258,0.000629,116,0.000174,1.089700698852539
1175,0.0005875,105,0.0001575,1.1774892807006836
1089,0.0005445,122,0.000183,1.0022482872009277
1108,0.000554,105,0.0001575,1.1201789379119873
1245,0.0006225,121,0.0001815,1.1728322505950928
1162,0.000581,103,0.0001545,1.3142411708831787
1170,0.000585,124,0.000186,1.4552829265594482
1096,0.000548,106,0.000159,1.6112534999847412
1352,0.000676,103,0.0001545,1.1369578838348389
1132,0.000566,121,0.0001815,0.9991729259490967
1486,0.000743,123,0.0001845,1.797727108001709
1226,0.000613,124,0.000186,1.0868959426879883
1262,0.000631,130,0.000195,1.7718725204467773
1151,0.0005755,110,0.000165,1.703559398651123
1120,0.00056,94,0.000141,0.9014627933502197
1123,0.0005615,107,0.0001605,1.4580364227294922
1140,0.00057,96,0.000144,1.0517995357513428
1206,0.000603,100,0.00015,0.8317325115203857
1203,0.0006015,106,0.000159,1.150198221206665
1664,0.000832,100,0.00015,0.8492612838745117
1090,0.000545,117,0.0001755,1.095487356185913
1119,0.0005595,94,0.000141,1.3181705474853516
1083,0.0005415,100,0.00015,1.0002660751342773
1094,0.000547,97,0.0001455,1.1875414848327637
1182,0.000591,100,0.00015,0.945706844329834
1272,0.000636,96,0.000144,0.8702316284179688
1202,0.000601,116,0.000174,0.9840457439422607
1238,0.000619,113,0.0001695,1.0574214458465576
1103,0.0005515,103,0.0001545,0.955918550491333
1145,0.0005725,110,0.000165,0.9404637813568115
1077,0.0005385,107,0.0001605,1.2230985164642334
1363,0.0006815,110,0.000165,1.0283010005950928
1133,0.0005665,98,0.000147,1.266322135925293
1076,0.000538,94,0.000141,0.9154500961303711
1089,0.0005445,100,0.00015,0.8391077518463135
1137,0.0005685,108,0.000162,1.183065414428711
1113,0.0005565,106,0.000159,1.1498756408691406
1189,0.0005945,100,0.00015,1.0301668643951416
1091,0.0005455,101,0.0001515,0.8638565540313721
1087,0.0005435,100,0.00015,0.9564011096954346
2263,0.0011315,101,0.0001515,1.2032806873321533
1274,0.000637,107,0.0001605,1.0617849826812744
1115,0.0005575,115,0.0001725,1.4861528873443604
1155,0.0005775,103,0.0001545,1.2182915210723877
1256,0.000628,109,0.0001635,1.6416726112365723
1112,0.000556,103,0.0001545,1.0037548542022705
1287,0.0006435,119,0.0001785,1.177211046218872
1091,0.0005455,106,0.000159,1.6385858058929443
1081,0.0005405,108,0.000162,1.0561301708221436
1370,0.000685,95,0.0001425,1.1302170753479004
1091,0.0005455,109,0.0001635,0.9415197372436523
1242,0.000621,105,0.0001575,1.2896156311035156
1089,0.0005445,103,0.0001545,1.1873862743377686
1040,0.00052,94,0.000141,0.8768177032470703
1089,0.0005445,211,0.0003165,1.6992571353912354
1126,0.000563,111,0.0001665,1.4581811428070068
1116,0.000558,99,0.0001485,0.9449145793914795
1239,0.0006195,102,0.000153,1.518951177597046
1170,0.000585,97,0.0001455,0.8301048278808594
1192,0.000596,98,0.000147,0.9430322647094727
1289,0.0006445,98,0.000147,1.1163105964660645
1170,0.000585,90,0.000135,1.0973999500274658
1260,0.00063,125,0.0001875,1.048966884613037
1201,0.0006005,114,0.000171,0.9072790145874023
1133,0.0005665,95,0.0001425,1.0837090015411377
1099,0.0005495,111,0.0001665,1.286064624786377
1100,0.00055,99,0.0001485,1.2559452056884766
1154,0.000577,107,0.0001605,1.4525253772735596
1179,0.0005895,95,0.0001425,1.1757595539093018
1140,0.00057,110,0.000165,0.9558267593383789
1090,0.000545,99,0.0001485,0.9649832248687744
1614,0.000807,97,0.0001455,0.9014289379119873
1125,0.0005625,207,0.0003105,1.7553081512451172
2868,0.001434,158,0.000237,1.8569493293762207
1275,0.0006375,117,0.0001755,1.6233327388763428
2049,0.0010245,146,0.000219,1.1204946041107178
1160,0.00058,116,0.000174,1.051184892654419
1104,0.000552,108,0.000162,1.2986767292022705
1154,0.000577,101,0.0001515,1.1136550903320312
1113,0.0005565,100,0.00015,1.0165934562683105
1220,0.00061,111,0.0001665,1.1954162120819092
1101,0.0005505,97,0.0001455,0.9201724529266357
2276,0.001138,185,0.0002775,1.688133716583252
1214,0.000607,160,0.00024,1.7916741371154785
1338,0.000669,100,0.00015,0.9045472145080566
1055,0.0005275,102,0.000153,0.9809198379516602
1310,0.000655,100,0.00015,1.3184101581573486
1145,0.0005725,105,0.0001575,1.2826597690582275
2389,0.0011945,166,0.000249,1.4499132633209229
1291,0.0006455,92,0.000138,1.4479668140411377
1086,0.000543,99,0.0001485,1.0553903579711914
1205,0.0006025,106,0.000159,1.0260910987854004
1328,0.000664,104,0.000156,1.694202184677124
1207,0.0006035,97,0.0001455,1.3949379920959473
1106,0.000553,107,0.0001605,0.9437401294708252
1329,0.0006645,146,0.000219,1.282649278640747
1107,0.0005535,97,0.0001455,0.8689641952514648
1881,0.0009405,104,0.000156,1.1066341400146484
1135,0.0005675,110,0.000165,1.1680550575256348
1337,0.0006685,100,0.00015,1.1384062767028809
1183,0.0005915,117,0.0001755,1.322268009185791
3307,0.0016535,120,0.00018,1.5712311267852783
1233,0.0006165,97,0.0001455,0.8655288219451904
1131,0.0005655,107,0.0001605,0.9557685852050781
1300,0.00065,92,0.000138,0.8278076648712158
2070,0.001035,125,0.0001875,1.5012047290802002
1185,0.0005925,93,0.0001395,0.7879161834716797
1175,0.0005875,86,0.000129,1.445610761642456
1414,0.000707,103,0.0001545,1.54764723777771
1278,0.000639,94,0.000141,0.9594595432281494
1168,0.000584,89,0.0001335,1.1396689414978027
1250,0.000625,97,0.0001455,1.3282649517059326
1142,0.000571,90,0.000135,1.341719388961792
1697,0.0008485,94,0.000141,0.9780519008636475
1201,0.0006005,115,0.0001725,1.5542397499084473
1198,0.000599,89,0.0001335,0.9476394653320312
2120,0.00106,125,0.0001875,1.3146307468414307
1202,0.000601,100,0.00015,1.1465115547180176
1169,0.0005845,91,0.0001365,0.8033936023712158
1879,0.0009395,111,0.0001665,1.643932819366455
1211,0.0006055,93,0.0001395,1.0449647903442383
1356,0.000678,144,0.000216,1.228187084197998
1098,0.000549,107,0.0001605,3.1269493103027344
1239,0.0006195,95,0.0001425,0.8189561367034912
1109,0.0005545,93,0.0001395,0.8369724750518799
1250,0.000625,103,0.0001545,1.593857765197754
1292,0.000646,91,0.0001365,1.045525312423706
1174,0.000587,97,0.0001455,1.1080560684204102
1134,0.000567,96,0.000144,0.9638533592224121
