token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1337,0.0033425,108,0.00108,2.2699620723724365
1211,0.0030275,116,0.00116,2.221418619155884
1062,0.002655,111,0.00111,1.7319309711456299
1202,0.003005,112,0.00112,1.672135591506958
1275,0.0031875,142,0.00142,4.469342231750488
1504,0.00376,151,0.00151,2.090056896209717
1903,0.0047575,107,0.00107,1.726684331893921
1164,0.00291,123,0.00123,1.8720026016235352
1133,0.0028325,150,0.0015,1.927353858947754
1120,0.0028,125,0.00125,1.865469217300415
1149,0.0028725,103,0.00103,1.6075632572174072
1252,0.00313,149,0.00149,2.8297278881073
1408,0.00352,146,0.00146,1.830901861190796
1219,0.0030475,126,0.00126,1.835648775100708
1290,0.003225,108,0.00108,1.771195411682129
1168,0.00292,110,0.0011,1.7831151485443115
1150,0.002875,141,0.00141,1.5166857242584229
1262,0.003155,104,0.00104,1.6471471786499023
1178,0.002945,110,0.0011,1.4360110759735107
1091,0.0027275,106,0.00106,1.521773099899292
1111,0.0027775,109,0.00109,1.3516123294830322
1249,0.0031225,128,0.00128,1.4153776168823242
1164,0.00291,107,0.00107,1.1995418071746826
1174,0.002935,134,0.00134,1.4958267211914062
1098,0.002745,109,0.00109,1.5745081901550293
1355,0.0033875,131,0.00131,2.7146267890930176
1134,0.002835,123,0.00123,2.228426218032837
1488,0.00372,127,0.00127,1.49295973777771
1228,0.00307,123,0.00123,1.8380167484283447
1263,0.0031575,137,0.00137,1.8285963535308838
1153,0.0028825,115,0.00115,1.6002960205078125
1122,0.002805,99,0.00099,1.5937705039978027
1126,0.002815,112,0.00112,1.288015604019165
1142,0.002855,101,0.00101,1.3071026802062988
1208,0.00302,104,0.00104,1.7451989650726318
1206,0.003015,112,0.00112,1.3165557384490967
1666,0.004165,121,0.00121,2.407052755355835
1090,0.002725,101,0.00101,1.319282054901123
1121,0.0028025,97,0.00097,1.3585352897644043
1085,0.0027125,104,0.00104,1.6489040851593018
1096,0.00274,106,0.00106,1.0302331447601318
1184,0.00296,101,0.00101,1.456369161605835
1229,0.0030725,103,0.00103,1.1144638061523438
1204,0.00301,106,0.00106,1.4913411140441895
1241,0.0031025,119,0.00119,2.1842918395996094
1105,0.0027625,106,0.00106,1.1133909225463867
1149,0.0028725,115,0.00115,1.7753453254699707
1079,0.0026975,98,0.00098,1.1106011867523193
1365,0.0034125,114,0.00114,1.7244620323181152
1135,0.0028375,102,0.00102,1.170940637588501
1077,0.0026925,98,0.00098,1.1693110466003418
1091,0.0027275,104,0.00104,1.861851692199707
1139,0.0028475,113,0.00113,1.388798475265503
1115,0.0027875,111,0.00111,1.2291827201843262
1190,0.002975,115,0.00115,1.334432601928711
1094,0.002735,109,0.00109,1.1600100994110107
1088,0.00272,106,0.00106,1.296400547027588
2266,0.005665,126,0.00126,6.032177448272705
1275,0.0031875,111,0.00111,1.7281262874603271
1117,0.0027925,134,0.00134,2.7259738445281982
1157,0.0028925,108,0.00108,2.759840488433838
1258,0.003145,181,0.00181,3.3223302364349365
1114,0.002785,110,0.0011,1.6805193424224854
1289,0.0032225,123,0.00123,1.7412266731262207
1093,0.0027325,108,0.00108,3.294398784637451
1083,0.0027075,99,0.00099,1.9447448253631592
1306,0.003265,100,0.001,3.062563896179199
1093,0.0027325,148,0.00148,2.785372257232666
1244,0.00311,109,0.00109,3.178983211517334
1091,0.0027275,106,0.00106,1.5714359283447266
1042,0.002605,110,0.0011,1.9831948280334473
1090,0.002725,99,0.00099,2.8778433799743652
1129,0.0028225,102,0.00102,2.6453356742858887
1118,0.002795,103,0.00103,2.8695180416107178
1241,0.0031025,107,0.00107,2.1848864555358887
1172,0.00293,101,0.00101,2.5883002281188965
1194,0.002985,106,0.00106,4.026460886001587
1291,0.0032275,103,0.00103,1.4608900547027588
1172,0.00293,101,0.00101,3.267533302307129
1262,0.003155,110,0.0011,2.7152504920959473
1174,0.002935,143,0.00143,1.940946102142334
1136,0.00284,102,0.00102,2.679431915283203
1101,0.0027525,109,0.00109,1.8855936527252197
1102,0.002755,103,0.00103,2.7055907249450684
1153,0.0028825,111,0.00111,2.198295831680298
1180,0.00295,98,0.00098,3.2691757678985596
1141,0.0028525,113,0.00113,2.6650919914245605
1093,0.0027325,103,0.00103,2.2005608081817627
1621,0.0040525,135,0.00135,3.1834559440612793
1126,0.002815,94,0.00094,3.1396124362945557
2864,0.00716,134,0.00134,9.167503595352173
1276,0.00319,130,0.0013,2.2057418823242188
2051,0.0051275,147,0.00147,2.602036952972412
1162,0.002905,120,0.0012,1.7070221900939941
1105,0.0027625,113,0.00113,2.313976526260376
1156,0.00289,106,0.00106,1.3748290538787842
