token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1654,0.0013232,423,0.001692,6.778470516204834
1533,0.0012264,424,0.001696,6.156096696853638
1989,0.0015912,373,0.001492,6.385443210601807
1510,0.001208,389,0.001556,5.68289852142334
1994,0.0015952,367,0.001468,5.9892120361328125
1641,0.0013128000000000003,373,0.001492,6.669386625289917
6207,0.004965600000000001,404,0.001616,8.359718561172485
6542,0.005233600000000001,307,0.001228,6.941942930221558
1416,0.0011328,413,0.001652,5.885613918304443
2300,0.00184,396,0.001584,6.561443328857422
1743,0.0013944,392,0.001568,6.556837797164917
1885,0.001508,399,0.001596,6.755565166473389
3143,0.0025144,407,0.001628,8.458217144012451
1674,0.0013392,398,0.001592,6.65355658531189
1613,0.0012904000000000001,401,0.001604,7.206421852111816
891,0.0007128000000000001,317,0.001268,5.035491943359375
1838,0.0014704000000000002,417,0.001668,7.158340215682983
1487,0.0011896,349,0.001396,5.289470195770264
1652,0.0013216,367,0.001468,6.450003623962402
2708,0.0021664,433,0.001732,8.226811647415161
1660,0.001328,402,0.001608,6.725348234176636
2368,0.0018944,404,0.001616,7.288505792617798
1466,0.0011727999999999999,369,0.001476,5.806239604949951
2070,0.001656,459,0.001836,8.147965908050537
1527,0.0012216000000000002,403,0.001612,5.656398057937622
2067,0.0016536,385,0.00154,7.258197069168091
2897,0.0023176,404,0.001616,8.029317140579224
2921,0.0023368,401,0.001604,7.672536134719849
3226,0.0025808000000000003,453,0.001812,8.430854558944702
2362,0.0018896000000000002,411,0.001644,7.437697649002075
4037,0.0032296000000000004,419,0.001676,8.525755167007446
1367,0.0010936000000000001,360,0.00144,5.504102945327759
3941,0.0031528000000000003,424,0.001696,8.198659420013428
1513,0.0012104000000000001,377,0.001508,5.822492837905884
2762,0.0022096,359,0.001436,6.5432329177856445
2902,0.0023216,362,0.001448,6.887501955032349
2686,0.0021488,408,0.001632,8.262152671813965
2546,0.0020368,371,0.001484,6.858540058135986
2014,0.0016112000000000001,429,0.001716,7.626490592956543
1767,0.0014136,400,0.0016,6.920403718948364
2431,0.0019448000000000002,520,0.00208,11.113302230834961
3075,0.00246,368,0.001472,7.626779556274414
3348,0.0026784,360,0.00144,6.852816343307495
1232,0.0009856,359,0.001436,5.362518310546875
1754,0.0014032,363,0.001452,6.600350379943848
2203,0.0017624000000000001,364,0.001456,6.947173118591309
3264,0.0026112,401,0.001604,8.113166093826294
1240,0.000992,396,0.001584,5.419636011123657
1831,0.0014648000000000003,377,0.001508,11.984225034713745
1860,0.001488,377,0.001508,6.410840034484863
1729,0.0013832,383,0.001532,6.65730094909668
2518,0.0020144,435,0.00174,9.663758993148804
2146,0.0017168,420,0.00168,6.566135883331299
2728,0.0021824,364,0.001456,7.397334337234497
1769,0.0014152000000000001,442,0.001768,8.598379850387573
1393,0.0011144,403,0.001612,6.0848798751831055
1544,0.0012352,390,0.00156,6.129766941070557
1444,0.0011552,356,0.001424,7.988106727600098
1712,0.0013696000000000001,407,0.001628,6.4614198207855225
1286,0.0010287999999999999,372,0.001488,5.282329320907593
1483,0.0011864,401,0.001604,6.364142894744873
1383,0.0011064,362,0.001448,5.377822399139404
1848,0.0014784000000000002,320,0.00128,7.069177865982056
1859,0.0014872000000000002,352,0.001408,6.292573928833008
1948,0.0015584000000000001,378,0.001512,6.820972681045532
1311,0.0010488,358,0.001432,5.003659248352051
1908,0.0015264,375,0.0015,6.269932270050049
1369,0.0010952,442,0.001768,6.490105628967285
1859,0.0014872000000000002,386,0.001544,6.772061586380005
2978,0.0023824000000000002,397,0.001588,7.929210186004639
1446,0.0011568,391,0.001564,5.942450284957886
1372,0.0010976000000000002,358,0.001432,5.839983940124512
1471,0.0011768,461,0.001844,6.64842677116394
1702,0.0013616000000000001,409,0.001636,6.920933246612549
1697,0.0013576,388,0.001552,6.587683439254761
1151,0.0009208,376,0.001504,5.633246898651123
1197,0.0009576000000000001,365,0.00146,5.379847288131714
1316,0.0010528,419,0.001676,6.333164215087891
1606,0.0012848000000000002,355,0.00142,5.992462635040283
1519,0.0012152,354,0.001416,5.306910514831543
1238,0.0009904,368,0.001472,5.518304824829102
1239,0.0009912,341,0.001364,7.4530792236328125
1263,0.0010104,389,0.001556,5.688812494277954
1182,0.0009456,347,0.001388,5.489170551300049
1232,0.0009856,373,0.001492,5.563241004943848
1197,0.0009576000000000001,353,0.001412,5.057853698730469
1211,0.0009688,325,0.0013,5.140976667404175
1293,0.0010344,378,0.001512,5.6630754470825195
1228,0.0009824,397,0.001588,6.032343626022339
1217,0.0009736,370,0.00148,5.605420827865601
1196,0.0009568000000000001,349,0.001396,5.428828716278076
1324,0.0010592,398,0.001592,5.843323230743408
1241,0.0009928,397,0.001588,5.6871559619903564
1191,0.0009528000000000001,352,0.001408,5.258044004440308
1299,0.0010392,390,0.00156,5.4576849937438965
