token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1654,0.004962,539,0.008085,12.22077465057373
1533,0.004599,518,0.00777,7.4524195194244385
1989,0.005967,465,0.006975,11.970999002456665
1510,0.00453,555,0.008325,7.427042007446289
1994,0.005982,571,0.008565,19.55763530731201
1641,0.004923,547,0.008205,10.471519470214844
6207,0.018621,540,0.0081,11.659509420394897
6542,0.019626,578,0.00867,15.683990240097046
1416,0.004248,580,0.0087,13.329044103622437
2300,0.0069,679,0.010185,9.102083206176758
1743,0.005229,487,0.007305,7.589282035827637
1885,0.005655,563,0.008445,9.98807430267334
3143,0.009429,736,0.01104,11.654792547225952
1674,0.005022,592,0.00888,19.521979808807373
1613,0.004839,583,0.008745,16.308603286743164
891,0.002673,466,0.00699,7.376729726791382
1838,0.005514,543,0.008145,8.440338373184204
1487,0.004461,485,0.007275,10.20771050453186
1652,0.004956,510,0.00765,17.21427822113037
2708,0.008124,715,0.010725,11.297099590301514
1660,0.00498,548,0.00822,11.550807237625122
2368,0.007104,630,0.00945,16.354158878326416
1466,0.004398,516,0.00774,8.920640707015991
2070,0.00621,697,0.010455,16.746758699417114
1527,0.004581,690,0.01035,20.103846311569214
2067,0.006201,589,0.008835,9.287020206451416
2897,0.008691,579,0.008685,7.976480722427368
2921,0.008763,602,0.00903,11.718708276748657
3226,0.009678,633,0.009495,9.278460264205933
2362,0.007086,589,0.008835,17.847553491592407
4037,0.012111,747,0.011205,11.91364073753357
1367,0.004101,607,0.009105,11.680448770523071
3941,0.011823,635,0.009525,12.598285675048828
1513,0.004539,516,0.00774,7.72941255569458
2762,0.008286,701,0.010515,10.453654527664185
2902,0.008706,548,0.00822,16.693315029144287
2686,0.008058,680,0.0102,14.058377504348755
2546,0.007638,573,0.008595,9.112764596939087
2014,0.006042,544,0.00816,8.50862431526184
1767,0.005301,566,0.00849,11.759678602218628
2431,0.007293,843,0.012645,16.43803572654724
3075,0.009225,602,0.00903,8.004549264907837
3348,0.010044,633,0.009495,14.239292621612549
1232,0.003696,485,0.007275,7.274879217147827
1754,0.005262,529,0.007935,8.856381177902222
2203,0.006609,563,0.008445,10.251871824264526
3264,0.009792,616,0.00924,23.771209478378296
1240,0.00372,532,0.00798,19.165285110473633
1831,0.005493,600,0.009,29.45544195175171
1860,0.00558,527,0.007905,9.695760011672974
1729,0.005187,544,0.00816,10.951802253723145
2518,0.007554,638,0.00957,8.998513460159302
2146,0.006438,525,0.007875,11.709452390670776
2728,0.008184,636,0.00954,11.821147680282593
1769,0.005307,598,0.00897,8.245271921157837
1393,0.004179,478,0.00717,6.76278281211853
1544,0.004632,523,0.007845,7.781194686889648
1444,0.004332,526,0.00789,14.633620262145996
1712,0.005136,533,0.007995,12.030366659164429
1286,0.003858,461,0.006915,12.782763957977295
1483,0.004449,607,0.009105,9.153062582015991
1383,0.004149,454,0.00681,19.974833965301514
1848,0.005544,540,0.0081,8.95986008644104
1859,0.005577,616,0.00924,9.525390148162842
1948,0.005844,591,0.008865,9.419413328170776
1311,0.003933,592,0.00888,9.341176748275757
1908,0.005724,552,0.00828,21.286587715148926
1369,0.004107,566,0.00849,18.842025756835938
1859,0.005577,573,0.008595,10.786657094955444
2978,0.008934,741,0.011115,15.259327411651611
1446,0.004338,598,0.00897,16.845669746398926
1372,0.004116,469,0.007035,14.14797568321228
1471,0.004413,541,0.008115,13.360486268997192
1702,0.005106,583,0.008745,8.863131999969482
1697,0.005091,616,0.00924,17.01764750480652
1151,0.003453,509,0.007635,9.698972463607788
1197,0.003591,508,0.00762,12.474647521972656
1316,0.003948,475,0.007125,15.524576902389526
1606,0.004818,491,0.007365,8.919468402862549
1519,0.004557,442,0.00663,9.23519229888916
1238,0.003714,445,0.006675,9.353204488754272
1239,0.003717,477,0.007155,9.496290922164917
1263,0.003789,538,0.00807,8.230032682418823
1182,0.003546,447,0.006705,8.395933628082275
1232,0.003696,542,0.00813,9.306889533996582
1197,0.003591,494,0.00741,7.537585973739624
1211,0.003633,426,0.00639,7.9047558307647705
1293,0.003879,441,0.006615,6.911597490310669
1228,0.003684,540,0.0081,9.614049673080444
1217,0.003651,428,0.00642,7.439562797546387
1196,0.003588,481,0.007215,7.63741397857666
1324,0.003972,462,0.00693,12.051144361495972
1241,0.003723,522,0.00783,9.55429744720459
1191,0.003573,485,0.007275,8.436641693115234
1299,0.003897,474,0.00711,11.539965152740479
