token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1506,0.0018825,282,0.00282,11.366355180740356
1383,0.00172875,255,0.00255,12.437750339508057
1820,0.002275,252,0.00252,13.278133153915405
1362,0.0017025,256,0.00256,14.294670104980469
1848,0.00231,278,0.00278,15.405067443847656
1506,0.0018825,280,0.0028,12.742936372756958
5777,0.00722125,321,0.00321,22.63211154937744
6118,0.0076475,313,0.00313,22.592718839645386
1294,0.0016175,272,0.00272,11.360125064849854
2181,0.00272625,266,0.00266,16.941789865493774
1603,0.00200375,335,0.00335,14.244375467300415
1712,0.00214,300,0.003,17.976338148117065
2855,0.00356875,316,0.00316,17.01320219039917
1526,0.0019075,310,0.0031,12.111007452011108
1477,0.00184625,346,0.00346,22.87061882019043
809,0.00101125,199,0.00199,7.684102296829224
1737,0.00217125,278,0.00278,18.366847038269043
1389,0.00173625,276,0.00276,13.186347246170044
1523,0.00190375,235,0.00235,13.70388126373291
2532,0.003165,340,0.0034,18.817790985107422
1579,0.00197375,261,0.00261,13.018659114837646
2141,0.00267625,316,0.00316,15.009046077728271
1336,0.00167,288,0.00288,12.721880912780762
1925,0.00240625,264,0.00264,12.926088333129883
1382,0.0017275,385,0.00385,12.896575927734375
1938,0.0024225,328,0.00328,19.4538152217865
2728,0.00341,400,0.004,20.053274869918823
2690,0.0033625,318,0.00318,15.75325322151184
2994,0.0037425,291,0.00291,12.734286546707153
2164,0.002705,268,0.00268,19.80383610725403
3705,0.00463125,353,0.00353,18.106662273406982
1268,0.001585,301,0.00301,16.687243223190308
3614,0.0045175,359,0.00359,27.414980173110962
1400,0.00175,310,0.0031,11.369804382324219
2531,0.00316375,327,0.00327,19.087100505828857
2647,0.00330875,291,0.00291,18.298962116241455
2489,0.00311125,428,0.00428,18.076641082763672
2350,0.0029375,283,0.00283,19.269403219223022
1934,0.0024175,281,0.00281,15.91038703918457
1650,0.0020625,312,0.00312,13.220555067062378
2223,0.00277875,414,0.00414,15.66654658317566
2905,0.00363125,319,0.00319,26.572253465652466
3126,0.0039075,283,0.00283,19.56568670272827
1125,0.00140625,208,0.00208,19.6900315284729
1602,0.0020025,252,0.00252,17.741140127182007
2028,0.002535,288,0.00288,13.44231128692627
3030,0.0037875,357,0.00357,24.871683597564697
1126,0.0014075,216,0.00216,12.207287073135376
1683,0.00210375,286,0.00286,13.448838710784912
1709,0.00213625,283,0.00283,14.624398946762085
1593,0.00199125,316,0.00316,12.973438501358032
2416,0.00302,249,0.00249,19.225773572921753
2069,0.00258625,318,0.00318,12.247245788574219
2593,0.00324125,346,0.00346,17.20779275894165
1609,0.00201125,446,0.00446,20.758269548416138
1274,0.0015925,232,0.00232,15.531682014465332
1426,0.0017825,231,0.00231,10.89555025100708
1305,0.00163125,258,0.00258,10.494972467422485
1617,0.00202125,269,0.00269,13.130602598190308
1171,0.00146375,254,0.00254,13.03012490272522
1352,0.00169,347,0.00347,13.348828315734863
1275,0.00159375,226,0.00226,13.219979286193848
1756,0.002195,278,0.00278,14.007079362869263
1767,0.00220875,225,0.00225,17.509713649749756
1789,0.00223625,291,0.00291,14.491525888442993
1215,0.00151875,288,0.00288,9.455322265625
1819,0.00227375,275,0.00275,16.804177045822144
1258,0.0015725,303,0.00303,12.611090421676636
1782,0.0022275,275,0.00275,12.308737516403198
2775,0.00346875,443,0.00443,17.490989446640015
1311,0.00163875,291,0.00291,15.538331508636475
1237,0.00154625,268,0.00268,9.706512212753296
1335,0.00166875,289,0.00289,11.803604364395142
1715,0.00214375,297,0.00297,13.1048424243927
1565,0.00195625,313,0.00313,16.455557346343994
1057,0.00132125,225,0.00225,15.96841812133789
1104,0.00138,219,0.00219,9.13641905784607
1215,0.00151875,267,0.00267,12.554424524307251
1495,0.00186875,259,0.00259,16.44455099105835
1457,0.00182125,184,0.00184,8.836214303970337
1135,0.00141875,236,0.00236,10.709266901016235
1128,0.00141,212,0.00212,11.198716640472412
1168,0.00146,263,0.00263,11.885307788848877
1080,0.00135,212,0.00212,9.84428095817566
1130,0.0014125,269,0.00269,21.027595281600952
1093,0.00136625,216,0.00216,8.050012588500977
1111,0.00138875,229,0.00229,15.333847045898438
1177,0.00147125,223,0.00223,10.681381225585938
1130,0.0014125,220,0.0022,13.927408933639526
1128,0.00141,193,0.00193,9.944461345672607
1089,0.00136125,212,0.00212,9.297516107559204
1217,0.00152125,242,0.00242,15.112160205841064
1131,0.00141375,242,0.00242,12.886595249176025
1095,0.00136875,191,0.00191,8.009361982345581
1190,0.0014875,244,0.00244,12.577231645584106
