token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1423,0.0035575,257,0.00257,2.2374584674835205
1300,0.00325,250,0.0025,1.752516508102417
1753,0.0043825,176,0.00176,1.6731131076812744
1290,0.003225,335,0.00335,2.469548225402832
1736,0.00434,238,0.00238,2.2182300090789795
1417,0.0035425,255,0.00255,2.1221001148223877
5512,0.01378,255,0.00255,6.283924579620361
5940,0.01485,351,0.00351,6.987213611602783
1206,0.003015,263,0.00263,1.8816337585449219
1993,0.0049825,265,0.00265,1.9847896099090576
1506,0.003765,307,0.00307,2.3703346252441406
1630,0.004075,325,0.00325,3.235046148300171
2728,0.00682,624,0.00624,15.925888299942017
1443,0.0036075,243,0.00243,2.5330116748809814
1396,0.00349,326,0.00326,2.444810152053833
763,0.0019075,162,0.00162,2.203352212905884
1590,0.003975,217,0.00217,4.232736825942993
1260,0.00315,238,0.00238,2.211015224456787
1418,0.003545,255,0.00255,2.3898730278015137
2389,0.0059725,568,0.00568,5.92087721824646
1438,0.003595,241,0.00241,2.3098461627960205
2049,0.0051225,347,0.00347,2.7702274322509766
1241,0.0031025,225,0.00225,1.9550201892852783
1814,0.004535,272,0.00272,2.2051663398742676
1302,0.003255,286,0.00286,2.643129587173462
1801,0.0045025,279,0.00279,2.3780078887939453
2616,0.00654,405,0.00405,12.46653127670288
2488,0.00622,349,0.00349,3.9824230670928955
2811,0.0070275,253,0.00253,6.711554527282715
2103,0.0052575,259,0.00259,2.0558433532714844
3575,0.0089375,424,0.00424,10.281151533126831
1169,0.0029225,256,0.00256,2.068113327026367
3545,0.0088625,305,0.00305,8.149544477462769
1314,0.003285,254,0.00254,2.617619752883911
2439,0.0060975,343,0.00343,2.7074241638183594
2537,0.0063425,262,0.00262,5.840261220932007
2378,0.005945,329,0.00329,2.836367607116699
2206,0.005515,226,0.00226,2.0895328521728516
1816,0.00454,222,0.00222,1.798140048980713
1528,0.00382,418,0.00418,3.09922194480896
2102,0.005255,356,0.00356,2.8260583877563477
2687,0.0067175,254,0.00254,7.904460191726685
2971,0.0074275,311,0.00311,7.812098979949951
1098,0.002745,156,0.00156,2.7387092113494873
1524,0.00381,308,0.00308,2.6733057498931885
1988,0.00497,233,0.00233,3.3665478229522705
2878,0.007195,480,0.0048,14.205329656600952
1096,0.00274,209,0.00209,2.3111441135406494
1586,0.003965,439,0.00439,3.055957794189453
1610,0.004025,375,0.00375,3.213024139404297
1502,0.003755,255,0.00255,2.9030749797821045
2237,0.0055925,443,0.00443,3.0148909091949463
1894,0.004735,472,0.00472,3.504343032836914
2407,0.0060175,281,0.00281,2.202843427658081
1525,0.0038125,366,0.00366,3.44158673286438
1196,0.00299,211,0.00211,3.0094032287597656
1331,0.0033275,224,0.00224,1.9331634044647217
1227,0.0030675,242,0.00242,2.076417922973633
1460,0.00365,219,0.00219,2.0146775245666504
1079,0.0026975,173,0.00173,1.5049514770507812
1274,0.003185,300,0.003,2.9571914672851562
1171,0.0029275,181,0.00181,1.5339248180389404
1599,0.0039975,235,0.00235,2.540531635284424
1633,0.0040825,317,0.00317,2.925405263900757
1703,0.0042575,270,0.0027,1.884784460067749
1129,0.0028225,251,0.00251,2.210125207901001
1671,0.0041775,214,0.00214,1.570728063583374
1174,0.002935,254,0.00254,2.1600353717803955
1608,0.00402,275,0.00275,3.510627508163452
2639,0.0065975,385,0.00385,14.781245231628418
1233,0.0030825,235,0.00235,2.1977407932281494
1154,0.002885,214,0.00214,1.6158998012542725
1241,0.0031025,257,0.00257,2.225801467895508
1535,0.0038375,244,0.00244,1.8760287761688232
1461,0.0036525,328,0.00328,2.634716272354126
966,0.002415,177,0.00177,1.4305715560913086
1019,0.0025475,202,0.00202,1.355072021484375
1122,0.002805,210,0.0021,1.535334587097168
1367,0.0034175,214,0.00214,1.9105675220489502
1292,0.00323,175,0.00175,1.514676570892334
1038,0.002595,161,0.00161,1.2945661544799805
1029,0.0025725,154,0.00154,1.2959685325622559
1074,0.002685,165,0.00165,2.608494758605957
994,0.002485,156,0.00156,1.3657824993133545
1049,0.0026225,217,0.00217,1.7307157516479492
1006,0.002515,170,0.0017,1.5776877403259277
1025,0.0025625,186,0.00186,1.6161623001098633
1081,0.0027025,174,0.00174,1.3322689533233643
1035,0.0025875,169,0.00169,2.5167577266693115
1032,0.00258,148,0.00148,2.080415964126587
1001,0.0025025,165,0.00165,2.7691409587860107
1122,0.002805,211,0.00211,2.5553536415100098
1046,0.002615,207,0.00207,2.499178647994995
1003,0.0025075,167,0.00167,2.015808582305908
1093,0.0027325,188,0.00188,1.6769449710845947
