token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1082,0.0008656,300,0.0012,4.478061676025391
6332,0.0050656,324,0.001296,6.60333514213562
3038,0.0024304,363,0.001452,7.464437484741211
2110,0.001688,362,0.001448,6.7395179271698
1746,0.0013968000000000001,291,0.001164,5.1907899379730225
1244,0.0009952000000000001,308,0.001232,4.9550464153289795
646,0.0005168000000000001,335,0.00134,5.207935810089111
679,0.0005432000000000001,302,0.001208,4.563070058822632
832,0.0006656,323,0.001292,4.797221660614014
1449,0.0011592,285,0.00114,5.354968309402466
1532,0.0012256,352,0.001408,6.631863594055176
2795,0.002236,310,0.00124,5.954281330108643
1259,0.0010072,308,0.001232,5.232647657394409
1818,0.0014544,302,0.001208,5.619910717010498
1827,0.0014616000000000002,357,0.001428,6.377992630004883
1447,0.0011576000000000002,367,0.001468,6.411320209503174
1072,0.0008576,282,0.001128,4.369574308395386
1022,0.0008176,299,0.001196,5.249907493591309
896,0.0007168000000000001,287,0.001148,4.598748445510864
2256,0.0018048000000000003,327,0.001308,5.589365482330322
1361,0.0010888,298,0.001192,4.8254241943359375
1846,0.0014768000000000001,329,0.001316,6.173398971557617
2326,0.0018608000000000001,348,0.001392,6.40400767326355
854,0.0006832,294,0.001176,5.1035315990448
1620,0.001296,272,0.001088,5.380990982055664
3557,0.0028456,327,0.001308,6.302301406860352
3298,0.0026384,355,0.00142,6.3858630657196045
650,0.00052,338,0.001352,5.51992392539978
2198,0.0017584,309,0.001236,6.060761451721191
990,0.000792,295,0.00118,4.449792861938477
2817,0.0022535999999999997,293,0.001172,5.965374231338501
6078,0.0048624,292,0.001168,5.755466461181641
3445,0.002756,370,0.00148,6.9579503536224365
1939,0.0015512,347,0.001388,6.309687852859497
1177,0.0009416,306,0.001224,4.78641939163208
916,0.0007328,284,0.001136,4.523128509521484
2406,0.0019248000000000002,311,0.001244,5.810531139373779
3089,0.0024712000000000002,306,0.001224,5.8625946044921875
2702,0.0021616,311,0.001244,5.58805251121521
1640,0.001312,293,0.001172,5.512887239456177
2418,0.0019344000000000002,288,0.001152,5.653479814529419
2149,0.0017192,355,0.00142,6.686705827713013
1424,0.0011392000000000002,251,0.001004,4.868868112564087
2006,0.0016048000000000002,352,0.001408,6.757574558258057
1058,0.0008464000000000001,304,0.001216,4.970431804656982
880,0.000704,292,0.001168,4.592347860336304
882,0.0007056,282,0.001128,5.308082818984985
1110,0.000888,337,0.001348,5.508649587631226
780,0.000624,280,0.00112,4.545841932296753
1063,0.0008504000000000001,325,0.0013,5.080937623977661
949,0.0007592,314,0.001256,4.887930631637573
824,0.0006592000000000001,322,0.001288,5.033737659454346
824,0.0006592000000000001,307,0.001228,5.05282187461853
700,0.00056,279,0.001116,4.324652910232544
861,0.0006888,304,0.001216,4.602238178253174
657,0.0005256,294,0.001176,4.440436601638794
577,0.0004616,319,0.001276,4.851474046707153
1088,0.0008704000000000001,349,0.001396,5.542202711105347
929,0.0007432000000000001,318,0.001272,5.138454914093018
828,0.0006624000000000001,294,0.001176,4.839749336242676
1163,0.0009304000000000001,313,0.001252,5.01037073135376
946,0.0007568000000000001,325,0.0013,5.2425830364227295
801,0.0006408000000000001,294,0.001176,4.561039209365845
925,0.00074,311,0.001244,4.7865283489227295
690,0.000552,304,0.001216,4.9522576332092285
1263,0.0010104,289,0.001156,4.624699115753174
1101,0.0008808,361,0.001444,5.709547281265259
905,0.000724,315,0.00126,4.533010721206665
593,0.00047440000000000004,316,0.001264,4.775108814239502
1198,0.0009584000000000001,308,0.001232,5.278052806854248
1031,0.0008248000000000001,337,0.001348,5.357925653457642
951,0.0007608000000000001,281,0.001124,4.325984954833984
661,0.0005288000000000001,314,0.001256,4.938567161560059
572,0.0004576,287,0.001148,4.600086212158203
689,0.0005512000000000001,297,0.001188,5.105038404464722
739,0.0005912000000000001,270,0.00108,4.097322463989258
816,0.0006528,339,0.001356,5.289278030395508
875,0.0007,309,0.001236,4.860630512237549
994,0.0007952,317,0.001268,5.377819776535034
590,0.000472,257,0.001028,4.44323205947876
635,0.000508,324,0.001296,5.830202341079712
1150,0.00092,312,0.001248,5.439671039581299
663,0.0005304,289,0.001156,4.659594535827637
1166,0.0009328000000000001,300,0.0012,4.908525466918945
946,0.0007568000000000001,335,0.00134,5.227186441421509
893,0.0007144000000000001,304,0.001216,4.83693790435791
1849,0.0014792,306,0.001224,5.856452703475952
620,0.000496,313,0.001252,5.97694730758667
691,0.0005528000000000001,288,0.001152,4.7000439167022705
949,0.0007592,277,0.001108,4.493142366409302
1475,0.00118,295,0.00118,5.7344748973846436
842,0.0006736,316,0.001264,5.015728712081909
686,0.0005488000000000001,289,0.001156,4.578259468078613
627,0.0005016,245,0.00098,4.1390767097473145
872,0.0006976,326,0.001304,5.245245933532715
1209,0.0009672000000000001,326,0.001304,5.16325569152832
750,0.0006,269,0.001076,4.743512153625488
657,0.0005256,263,0.001052,4.273563861846924
720,0.000576,271,0.001084,4.412390232086182
1926,0.0015408000000000002,297,0.001188,5.1271584033966064
585,0.000468,306,0.001224,5.151066303253174
565,0.000452,266,0.001064,4.437317848205566
1158,0.0009264000000000001,279,0.001116,4.783487558364868
1428,0.0011424,311,0.001244,6.7384538650512695
906,0.0007248,306,0.001224,4.920604228973389
1690,0.001352,291,0.001164,6.045851707458496
811,0.0006488,315,0.00126,5.028114557266235
1223,0.0009784000000000001,308,0.001232,5.057131767272949
534,0.00042720000000000003,258,0.001032,4.098571300506592
