token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
2093,0.006279,448,0.00672,8.146251678466797
7343,0.022029,489,0.007335,11.449321746826172
4049,0.012147,573,0.008595,20.79810857772827
3121,0.009363,508,0.00762,9.132657766342163
2757,0.008271,440,0.0066,7.928937911987305
2255,0.006765,382,0.00573,11.035217046737671
1657,0.004971,383,0.005745,7.069066286087036
1690,0.00507,393,0.005895,7.615935564041138
1843,0.005529,413,0.006195,10.791815757751465
2460,0.00738,359,0.005385,7.333358287811279
2543,0.007629,505,0.007575,9.039308786392212
3806,0.011418,502,0.00753,17.672159910202026
2270,0.00681,397,0.005955,8.266209602355957
2829,0.008487,494,0.00741,16.42760705947876
2838,0.008514,530,0.00795,10.040143728256226
2458,0.007374,520,0.0078,7.869137763977051
2083,0.006249,366,0.00549,6.675256967544556
2033,0.006099,423,0.006345,8.778512954711914
1907,0.005721,458,0.00687,10.6726655960083
3267,0.009801,486,0.00729,8.54205060005188
2372,0.007116,451,0.006765,7.90906286239624
2857,0.008571,454,0.00681,12.803639650344849
3337,0.010011,363,0.005445,7.626356840133667
1865,0.005595,374,0.00561,8.500934600830078
2631,0.007893,467,0.007005,8.675956964492798
4568,0.013704,487,0.007305,21.361535787582397
4309,0.012927,534,0.00801,11.275888204574585
1661,0.004983,424,0.00636,6.990396022796631
3209,0.009627,374,0.00561,13.313496589660645
2001,0.006003,387,0.005805,7.906625032424927
3828,0.011484,449,0.006735,17.04075026512146
7089,0.021267,554,0.00831,12.820361852645874
4456,0.013368,547,0.008205,10.629123210906982
2950,0.00885,435,0.006525,7.050814867019653
2188,0.006564,440,0.0066,7.986667633056641
1927,0.005781,410,0.00615,8.550639152526855
3417,0.010251,474,0.00711,8.61048150062561
4100,0.0123,509,0.007635,10.69784164428711
3713,0.011139,410,0.00615,12.593177795410156
2651,0.007953,389,0.005835,12.251241683959961
3429,0.010287,368,0.00552,10.36908221244812
3160,0.00948,477,0.007155,13.280001878738403
2435,0.007305,307,0.004605,5.639117956161499
3017,0.009051,453,0.006795,9.554478406906128
2069,0.006207,389,0.005835,8.218546152114868
1891,0.005673,380,0.0057,7.520835638046265
1893,0.005679,429,0.006435,9.92267656326294
2121,0.006363,471,0.007065,8.815172910690308
1791,0.005373,338,0.00507,6.209928035736084
2074,0.006222,455,0.006825,8.253734350204468
1960,0.00588,476,0.00714,14.810255527496338
1835,0.005505,371,0.005565,8.082324981689453
1835,0.005505,371,0.005565,25.081072568893433
1711,0.005133,382,0.00573,13.014063835144043
1872,0.005616,411,0.006165,7.308676481246948
1668,0.005004,375,0.005625,8.3651864528656
1588,0.004764,382,0.00573,7.809682607650757
2099,0.006297,410,0.00615,8.127689838409424
1940,0.00582,359,0.005385,7.038480520248413
1839,0.005517,396,0.00594,13.400307893753052
2174,0.006522,497,0.007455,9.722225904464722
1957,0.005871,431,0.006465,7.970259666442871
1812,0.005436,370,0.00555,7.956723928451538
1936,0.005808,378,0.00567,6.089526414871216
1701,0.005103,367,0.005505,11.53880000114441
2274,0.006822,394,0.00591,14.784828186035156
2112,0.006336,514,0.00771,8.88051700592041
1916,0.005748,427,0.006405,16.825268983840942
1604,0.004812,372,0.00558,17.823859691619873
2209,0.006627,419,0.006285,7.146350145339966
2042,0.006126,440,0.0066,10.885763883590698
1962,0.005886,355,0.005325,6.554041624069214
1672,0.005016,323,0.004845,11.035659551620483
1583,0.004749,368,0.00552,13.95676851272583
1700,0.0051,360,0.0054,6.108435869216919
1750,0.00525,393,0.005895,7.16090726852417
1827,0.005481,399,0.005985,10.003952264785767
1886,0.005658,393,0.005895,11.146604299545288
2005,0.006015,363,0.005445,7.713592529296875
1601,0.004803,339,0.005085,9.825855731964111
1646,0.004938,352,0.00528,6.960528135299683
2161,0.006483,355,0.005325,10.574796438217163
1674,0.005022,335,0.005025,6.340715169906616
2177,0.006531,463,0.006945,9.21212100982666
1957,0.005871,431,0.006465,10.098548889160156
1904,0.005712,468,0.00702,11.042423725128174
2860,0.00858,431,0.006465,8.762675046920776
1631,0.004893,377,0.005655,8.722691297531128
1702,0.005106,307,0.004605,6.162421226501465
1960,0.00588,315,0.004725,6.393957138061523
2486,0.007458,380,0.0057,7.337668180465698
1853,0.005559,338,0.00507,7.020743370056152
1697,0.005091,412,0.00618,14.287460088729858
1638,0.004914,422,0.00633,7.964893102645874
1883,0.005649,411,0.006165,8.766473293304443
2220,0.00666,450,0.00675,10.668796300888062
1761,0.005283,352,0.00528,6.904130697250366
1668,0.005004,328,0.00492,15.190502405166626
1731,0.005193,416,0.00624,8.813052654266357
2937,0.008811,470,0.00705,8.837223768234253
1596,0.004788,467,0.007005,13.973704099655151
1576,0.004728,337,0.005055,8.030162334442139
2169,0.006507,394,0.00591,7.0892791748046875
2439,0.007317,395,0.005925,7.129939079284668
1917,0.005751,423,0.006345,7.49402928352356
2701,0.008103,471,0.007065,7.818882703781128
1822,0.005466,362,0.00543,6.235029458999634
2234,0.006702,399,0.005985,12.635858058929443
1545,0.004635,329,0.004935,6.4704272747039795
2574,0.007722,383,0.005745,21.077526330947876
2524,0.007572,382,0.00573,6.536207437515259
1796,0.005388,391,0.005865,7.905897378921509
1538,0.004614,337,0.005055,6.404058218002319
2311,0.006933,401,0.006015,6.251932621002197
2409,0.007227,437,0.006555,9.31134819984436
1828,0.005484,387,0.005805,8.471492528915405
1617,0.004851,346,0.00519,6.639708995819092
2681,0.008043,412,0.00618,9.017558336257935
1653,0.004959,330,0.00495,12.361710786819458
2778,0.008334,482,0.00723,10.69880223274231
2098,0.006294,396,0.00594,8.83309006690979
2195,0.006585,480,0.0072,10.350074291229248
2020,0.00606,437,0.006555,10.676371812820435
2056,0.006168,425,0.006375,7.988236427307129
1881,0.005643,387,0.005805,6.622843027114868
1797,0.005391,376,0.00564,8.752526044845581
1743,0.005229,362,0.00543,6.150708436965942
1805,0.005415,425,0.006375,10.518304586410522
1752,0.005256,363,0.005445,8.814145565032959
1836,0.005508,415,0.006225,8.188404560089111
13125,0.039375,460,0.0069,12.615737676620483
4759,0.014277,465,0.006975,9.883917331695557
8440,0.02532,532,0.00798,11.647022485733032
1437,0.004311,277,0.004155,5.12027907371521
4719,0.014157,491,0.007365,8.89046573638916
1461,0.004383,326,0.00489,7.974439382553101
10147,0.030441,473,0.007095,12.31816816329956
3630,0.01089,435,0.006525,7.736196994781494
4920,0.01476,418,0.00627,11.129591464996338
6031,0.018093,553,0.008295,8.914385080337524
12689,0.038067,435,0.006525,11.870426893234253
10006,0.030018,530,0.00795,10.667448282241821
13124,0.039372,445,0.006675,10.725862741470337
3767,0.011301,541,0.008115,8.446432828903198
9731,0.029193,529,0.007935,10.399725437164307
7264,0.021792,473,0.007095,27.096394777297974
2934,0.008802,384,0.00576,8.189680576324463
3982,0.011946,588,0.00882,11.01052212715149
7617,0.022851,419,0.006285,13.660152673721313
8999,0.026997,501,0.007515,14.267397403717041
8910,0.02673,548,0.00822,12.094952583312988
9564,0.028692,479,0.007185,21.018274068832397
7829,0.023487,512,0.00768,10.242242574691772
8181,0.024543,402,0.00603,22.00344157218933
2016,0.006048,471,0.007065,8.372279167175293
3520,0.01056,642,0.00963,10.838840246200562
7189,0.021567,526,0.00789,16.6650607585907
3107,0.009321,418,0.00627,10.960801124572754
3265,0.009795,518,0.00777,8.853862285614014
4942,0.014826,429,0.006435,10.183300733566284
2310,0.00693,388,0.00582,7.358345985412598
14786,0.044358,415,0.006225,13.083252906799316
2544,0.007632,517,0.007755,9.22839617729187
6125,0.018375,436,0.00654,9.979424238204956
10004,0.030012,509,0.007635,13.277595043182373
5463,0.016389,440,0.0066,13.810925245285034
2486,0.007458,497,0.007455,10.33222222328186
2479,0.007437,394,0.00591,8.520386219024658
7418,0.022254,455,0.006825,11.60753846168518
4543,0.013629,414,0.00621,8.909461975097656
5683,0.017049,452,0.00678,9.521640300750732
3063,0.009189,431,0.006465,9.445793867111206
1565,0.004695,350,0.00525,10.336185932159424
1700,0.0051,354,0.00531,6.9317686557769775
1705,0.005115,345,0.005175,10.351502418518066
1720,0.00516,397,0.005955,11.097842693328857
1590,0.00477,311,0.004665,8.541606187820435
1593,0.004779,332,0.00498,7.287343978881836
1708,0.005124,382,0.00573,7.62402081489563
1651,0.004953,380,0.0057,9.697022676467896
1696,0.005088,340,0.0051,8.73897647857666
1706,0.005118,321,0.004815,13.32396674156189
1725,0.005175,360,0.0054,7.979346036911011
1739,0.005217,349,0.005235,8.997157335281372
1697,0.005091,353,0.005295,8.368046522140503
1574,0.004722,337,0.005055,7.423017263412476
1630,0.00489,298,0.00447,6.625126361846924
1720,0.00516,351,0.005265,7.684908866882324
1581,0.004743,329,0.004935,8.599743604660034
1584,0.004752,346,0.00519,7.995433807373047
1732,0.005196,383,0.005745,7.409645080566406
1644,0.004932,335,0.005025,6.719999313354492
1749,0.005247,431,0.006465,9.654622316360474
1572,0.004716,325,0.004875,10.295259952545166
1743,0.005229,374,0.00561,10.085425853729248
1870,0.00561,411,0.006165,8.924254417419434
1588,0.004764,342,0.00513,8.990981340408325
1576,0.004728,356,0.00534,11.026623487472534
1729,0.005187,358,0.00537,10.230151176452637
1591,0.004773,385,0.005775,11.136083126068115
1704,0.005112,381,0.005715,7.682503938674927
1729,0.005187,375,0.005625,6.711465120315552
1566,0.004698,312,0.00468,10.689778566360474
1704,0.005112,413,0.006195,11.542039632797241
1699,0.005097,334,0.00501,7.899394512176514
1751,0.005253,337,0.005055,8.60539722442627
1571,0.004713,346,0.00519,7.275926113128662
1746,0.005238,360,0.0054,9.31506872177124
1912,0.005736,337,0.005055,8.033189058303833
1573,0.004719,341,0.005115,8.322598457336426
1779,0.005337,344,0.00516,25.25497317314148
1719,0.005157,344,0.00516,7.08197808265686
1606,0.004818,330,0.00495,6.982656717300415
1723,0.005169,368,0.00552,8.261863470077515
1618,0.004854,329,0.004935,13.615528583526611
