token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1082,0.0013525,151,0.00151,9.377635717391968
6215,0.00776875,169,0.00169,19.98905873298645
3035,0.00379375,282,0.00282,15.796567916870117
2089,0.00261125,234,0.00234,22.29532289505005
1760,0.0022,167,0.00167,13.344785690307617
1223,0.00152875,169,0.00169,14.469849109649658
616,0.00077,148,0.00148,16.667880296707153
676,0.000845,134,0.00134,12.65208387374878
831,0.00103875,190,0.0019,11.617433309555054
1417,0.00177125,137,0.00137,10.939368724822998
1507,0.00188375,252,0.00252,14.918473720550537
2755,0.00344375,188,0.00188,16.80970048904419
1263,0.00157875,685,0.00685,22.023374795913696
1852,0.002315,158,0.00158,13.086642265319824
1832,0.00229,147,0.00147,11.627676010131836
1430,0.0017875,222,0.00222,13.34196424484253
1089,0.00136125,127,0.00127,10.401697635650635
1040,0.0013,143,0.00143,10.905009031295776
877,0.00109625,619,0.00619,28.270520448684692
2265,0.00283125,145,0.00145,17.148383140563965
1315,0.00164375,217,0.00217,12.075698375701904
1871,0.00233875,634,0.00634,23.236101865768433
2406,0.0030075,152,0.00152,25.774256229400635
843,0.00105375,177,0.00177,17.259578466415405
1600,0.002,193,0.00193,18.126120805740356
3604,0.004505,144,0.00144,18.25686240196228
3224,0.00403,179,0.00179,13.300118446350098
632,0.00079,171,0.00171,16.686556100845337
2231,0.00278875,171,0.00171,10.169520854949951
968,0.00121,167,0.00167,14.692381620407104
2862,0.0035775,168,0.00168,20.242027521133423
5792,0.00724,149,0.00149,16.305036544799805
3482,0.0043525,181,0.00181,12.866596460342407
1889,0.00236125,177,0.00177,16.233290672302246
1164,0.001455,150,0.0015,10.390800476074219
899,0.00112375,173,0.00173,10.251693487167358
2361,0.00295125,146,0.00146,21.958811283111572
3003,0.00375375,185,0.00185,15.235849857330322
2582,0.0032275,129,0.00129,18.300944089889526
1647,0.00205875,163,0.00163,16.13500428199768
2440,0.00305,164,0.00164,32.301721811294556
2158,0.0026975,175,0.00175,21.049896478652954
1423,0.00177875,135,0.00135,8.87723183631897
2127,0.00265875,146,0.00146,25.428351402282715
1065,0.00133125,152,0.00152,21.939202547073364
907,0.00113375,155,0.00155,16.924927234649658
890,0.0011125,265,0.00265,22.00351858139038
1142,0.0014275,534,0.00534,29.029785871505737
789,0.00098625,115,0.00115,14.658539772033691
1113,0.00139125,134,0.00134,14.098620414733887
959,0.00119875,139,0.00139,21.665098428726196
821,0.00102625,120,0.0012,20.652950763702393
821,0.00102625,138,0.00138,32.66916060447693
707,0.00088375,141,0.00141,11.410712718963623
874,0.0010925,165,0.00165,13.017807960510254
650,0.0008125,151,0.00151,7.123379945755005
556,0.000695,145,0.00145,7.968946933746338
1127,0.00140875,547,0.00547,13.014683246612549
954,0.0011925,521,0.00521,16.05274724960327
840,0.00105,117,0.00117,16.74123740196228
1197,0.00149625,168,0.00168,22.881659269332886
976,0.00122,152,0.00152,15.012842416763306
805,0.00100625,161,0.00161,12.471405982971191
950,0.0011875,150,0.0015,12.117085695266724
690,0.0008625,124,0.00124,14.21263837814331
1298,0.0016225,142,0.00142,21.172547340393066
1109,0.00138625,629,0.00629,25.084856271743774
913,0.00114125,182,0.00182,12.585463047027588
567,0.00070875,139,0.00139,10.52828574180603
1240,0.00155,155,0.00155,15.187319040298462
1096,0.00137,164,0.00164,12.850148439407349
982,0.0012275,129,0.00129,11.610717058181763
648,0.00081,117,0.00117,10.688950061798096
553,0.00069125,128,0.00128,9.685785055160522
690,0.0008625,114,0.00114,9.33484411239624
739,0.00092375,143,0.00143,11.53373122215271
818,0.0010225,136,0.00136,24.76305651664734
884,0.001105,149,0.00149,25.69172954559326
1045,0.00130625,120,0.0012,19.48520255088806
578,0.0007225,151,0.00151,12.911623239517212
628,0.000785,147,0.00147,16.471322536468506
1211,0.00151375,133,0.00133,21.27725577354431
661,0.00082625,119,0.00119,12.50874400138855
1195,0.00149375,771,0.00771,25.143261671066284
976,0.00122,152,0.00152,15.55847978591919
909,0.00113625,136,0.00136,24.664422035217285
1856,0.00232,713,0.00713,27.91768217086792
593,0.00074125,153,0.00153,22.518866777420044
693,0.00086625,137,0.00137,14.541572332382202
955,0.00119375,129,0.00129,9.364042282104492
1556,0.001945,181,0.00181,14.024757146835327
859,0.00107375,166,0.00166,20.647364139556885
679,0.00084875,104,0.00104,11.68724250793457
620,0.000775,104,0.00104,12.896142721176147
891,0.00111375,106,0.00106,18.819634914398193
1261,0.00157625,639,0.00639,15.178817510604858
757,0.00094625,452,0.00452,21.462050199508667
637,0.00079625,118,0.00118,8.127087831497192
704,0.00088,142,0.00142,8.7009756565094
1936,0.00242,157,0.00157,14.742765426635742
564,0.000705,129,0.00129,18.599389791488647
557,0.00069625,150,0.0015,9.644279956817627
1139,0.00142375,126,0.00126,12.140175819396973
1498,0.0018725,149,0.00149,16.520637273788452
922,0.0011525,172,0.00172,12.660675287246704
1671,0.00208875,210,0.0021,14.293963193893433
821,0.00102625,127,0.00127,11.526072025299072
1206,0.0015075,134,0.00134,16.042160511016846
519,0.00064875,119,0.00119,13.421165704727173
1628,0.002035,154,0.00154,21.67839741706848
1512,0.00189,251,0.00251,13.953638553619385
776,0.00097,150,0.0015,10.65682315826416
506,0.0006325,143,0.00143,23.338021278381348
1315,0.00164375,162,0.00162,15.148658514022827
1394,0.0017425,135,0.00135,11.553033351898193
829,0.00103625,130,0.0013,18.311737775802612
579,0.00072375,145,0.00145,17.66619634628296
1672,0.00209,123,0.00123,24.475021362304688
636,0.000795,115,0.00115,17.60151696205139
1889,0.00236125,160,0.0016,25.353835582733154
1111,0.00138875,150,0.0015,11.7821524143219
1243,0.00155375,149,0.00149,19.491565465927124
995,0.00124375,177,0.00177,8.560054540634155
1052,0.001315,158,0.00158,13.526288747787476
876,0.001095,161,0.00161,11.891023397445679
767,0.00095875,143,0.00143,25.094839096069336
722,0.0009025,123,0.00123,11.641029357910156
804,0.001005,126,0.00126,14.541405439376831
744,0.00093,514,0.00514,14.864293813705444
788,0.000985,134,0.00134,10.040184736251831
11224,0.01403,170,0.0017,10.42229175567627
3498,0.0043725,127,0.00127,18.048748254776
6892,0.008615,174,0.00174,13.127155780792236
389,0.00048625,102,0.00102,7.423227071762085
3541,0.00442625,165,0.00165,16.954492568969727
415,0.00051875,122,0.00122,5.231506824493408
8515,0.01064375,139,0.00139,21.895023345947266
2417,0.00302125,144,0.00144,12.950386762619019
3624,0.00453,146,0.00146,14.21191668510437
4719,0.00589875,202,0.00202,12.707435369491577
10889,0.01361125,149,0.00149,13.298642873764038
8341,0.01042625,172,0.00172,16.20006799697876
11235,0.01404375,182,0.00182,12.868834257125854
2591,0.00323875,204,0.00204,14.54534101486206
8029,0.01003625,799,0.00799,44.63485550880432
5855,0.00731875,186,0.00186,9.53986668586731
1823,0.00227875,121,0.00121,16.938190460205078
2855,0.00356875,204,0.00204,25.47994065284729
6183,0.00772875,158,0.00158,9.258109331130981
7471,0.00933875,143,0.00143,25.90537452697754
7400,0.00925,209,0.00209,17.638445615768433
7952,0.00994,158,0.00158,12.876863956451416
6386,0.0079825,207,0.00207,12.518531560897827
6614,0.0082675,146,0.00146,13.449508428573608
988,0.001235,155,0.00155,10.203848838806152
2391,0.00298875,217,0.00217,20.268126249313354
5779,0.00722375,196,0.00196,17.763583660125732
2003,0.00250375,143,0.00143,14.30866026878357
2115,0.00264375,215,0.00215,14.838702917098999
3670,0.0045875,604,0.00604,21.808920860290527
1207,0.00150875,522,0.00522,21.152313947677612
12704,0.01588,772,0.00772,44.506494998931885
1458,0.0018225,763,0.00763,31.252922296524048
4851,0.00606375,156,0.00156,11.520227432250977
8339,0.01042375,762,0.00762,24.8403377532959
4196,0.005245,636,0.00636,33.541611194610596
1436,0.001795,167,0.00167,12.820080041885376
1403,0.00175375,488,0.00488,18.18804693222046
5876,0.007345,151,0.00151,13.130204916000366
