token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1872,0.000936,104,0.000156,0.8670840263366699
6361,0.0031805,91,0.0001365,1.0523605346679688
3573,0.0017865,92,0.000138,0.9982740879058838
2717,0.0013585,92,0.000138,1.103243350982666
2457,0.0012285,97,0.0001455,0.937169075012207
1971,0.0009855,100,0.00015,1.0203707218170166
1481,0.0007405,91,0.0001365,1.048576831817627
1507,0.0007535,85,0.0001275,0.8500423431396484
1647,0.0008235,92,0.000138,0.8782784938812256
2151,0.0010755,102,0.000153,1.3221940994262695
2273,0.0011365,139,0.0002085,1.4703199863433838
3408,0.001704,85,0.0001275,1.1503934860229492
2008,0.001004,95,0.0001425,0.8967969417572021
2529,0.0012645,95,0.0001425,1.1204602718353271
2520,0.00126,113,0.0001695,1.0639448165893555
2194,0.001097,130,0.000195,1.411055088043213
1851,0.0009255,94,0.000141,0.851193904876709
1821,0.0009105,100,0.00015,0.9421820640563965
1689,0.0008445,105,0.0001575,1.11080002784729
2827,0.0014135,99,0.0001485,1.1707587242126465
2083,0.0010415,166,0.000249,1.4159953594207764
2534,0.001267,108,0.000162,0.876427412033081
2978,0.001489,91,0.0001365,1.1642286777496338
1674,0.000837,100,0.00015,1.330280065536499
2316,0.001158,152,0.000228,1.5701017379760742
4018,0.002009,100,0.00015,1.15012526512146
3711,0.0018555,113,0.0001695,1.3644731044769287
1486,0.000743,117,0.0001755,1.3050832748413086
2847,0.0014235,100,0.00015,0.9539000988006592
1770,0.000885,107,0.0001605,1.2886345386505127
3362,0.001681,97,0.0001455,1.4021284580230713
6193,0.0030965,105,0.0001575,1.7637476921081543
4012,0.002006,151,0.0002265,1.309725284576416
2575,0.0012875,125,0.0001875,1.2297477722167969
1927,0.0009635,102,0.000153,1.5313901901245117
1719,0.0008595,110,0.000165,1.375171184539795
2891,0.0014455,96,0.000144,0.9354407787322998
3523,0.0017615,104,0.000156,1.1545441150665283
3272,0.001636,106,0.000159,1.8757548332214355
2331,0.0011655,118,0.000177,1.0618326663970947
3011,0.0015055,97,0.0001455,0.8309793472290039
2794,0.001397,121,0.0001815,1.8930351734161377
2156,0.001078,90,0.000135,1.5025403499603271
2714,0.001357,106,0.000159,0.9555470943450928
1846,0.000923,115,0.0001725,1.506941795349121
1698,0.000849,97,0.0001455,1.2089946269989014
1690,0.000845,120,0.00018,0.9691629409790039
1896,0.000948,99,0.0001485,1.2640306949615479
1606,0.000803,91,0.0001365,0.7980964183807373
1861,0.0009305,109,0.0001635,1.3584775924682617
1753,0.0008765,97,0.0001455,0.9250679016113281
1639,0.0008195,63,9.45e-05,0.9036855697631836
1639,0.0008195,63,9.45e-05,0.8165977001190186
1539,0.0007695,97,0.0001455,1.0091240406036377
1683,0.0008415,99,0.0001485,0.8686568737030029
1495,0.0007475,86,0.000129,0.9878807067871094
1424,0.000712,86,0.000129,0.9575183391571045
1878,0.000939,98,0.000147,1.0789299011230469
1747,0.0008735,98,0.000147,0.9014782905578613
1652,0.000826,107,0.0001605,0.8946244716644287
1942,0.000971,105,0.0001575,1.3659825325012207
1757,0.0008785,109,0.0001635,1.0495293140411377
1618,0.000809,110,0.000165,1.4831225872039795
1735,0.0008675,100,0.00015,2.0296430587768555
1528,0.000764,102,0.000153,0.9394528865814209
2029,0.0010145,93,0.0001395,1.0806701183319092
1880,0.00094,138,0.000207,1.6493949890136719
1712,0.000856,99,0.0001485,0.9942610263824463
1435,0.0007175,119,0.0001785,1.316046953201294
1991,0.0009955,172,0.000258,1.5983600616455078
1841,0.0009205,86,0.000129,1.0705628395080566
1762,0.000881,105,0.0001575,1.0752291679382324
1496,0.000748,71,0.0001065,0.7046043872833252
1422,0.000711,63,9.45e-05,0.7120916843414307
1526,0.000763,118,0.000177,2.4271676540374756
1569,0.0007845,99,0.0001485,0.9584674835205078
1636,0.000818,108,0.000162,0.9141290187835693
1692,0.000846,107,0.0001605,0.9537663459777832
1804,0.000902,88,0.000132,1.1283340454101562
1442,0.000721,103,0.0001545,1.1067476272583008
1480,0.00074,94,0.000141,1.102649450302124
1940,0.00097,103,0.0001545,1.061643123626709
1504,0.000752,93,0.0001395,0.9205334186553955
1959,0.0009795,103,0.0001545,1.021850347518921
1757,0.0008785,109,0.0001635,1.2150218486785889
1704,0.000852,86,0.000129,0.8002219200134277
2536,0.001268,96,0.000144,0.8350038528442383
1463,0.0007315,98,0.000147,0.8751111030578613
1527,0.0007635,73,0.0001095,1.0458662509918213
1736,0.000868,96,0.000144,0.9422626495361328
2233,0.0011165,134,0.000201,1.0450818538665771
1662,0.000831,105,0.0001575,1.4488756656646729
1514,0.000757,86,0.000129,0.842576265335083
1465,0.0007325,64,9.6e-05,0.8455674648284912
1678,0.000839,89,0.0001335,0.8953697681427002
1995,0.0009975,134,0.000201,1.1168036460876465
1578,0.000789,93,0.0001395,0.8599076271057129
1489,0.0007445,95,0.0001425,1.1025416851043701
1541,0.0007705,96,0.000144,0.8253574371337891
2588,0.001294,99,0.0001485,0.9658575057983398
1426,0.000713,67,0.0001005,0.6829359531402588
1418,0.000709,92,0.000138,0.8298983573913574
1921,0.0009605,99,0.0001485,1.3468654155731201
2195,0.0010975,108,0.000162,1.1655802726745605
1725,0.0008625,184,0.000276,1.2595174312591553
2386,0.001193,139,0.0002085,1.1769936084747314
1634,0.000817,117,0.0001755,1.075131893157959
1982,0.000991,107,0.0001605,0.9078733921051025
1388,0.000694,63,9.45e-05,0.7407264709472656
2298,0.001149,111,0.0001665,1.1161236763000488
2189,0.0010945,190,0.000285,1.531813383102417
1605,0.0008025,93,0.0001395,0.8523366451263428
1382,0.000691,92,0.000138,1.3053205013275146
2037,0.0010185,104,0.000156,0.9267802238464355
2139,0.0010695,110,0.000165,1.1018080711364746
1638,0.000819,98,0.000147,0.829254150390625
1444,0.000722,95,0.0001425,1.2325210571289062
2381,0.0011905,96,0.000144,0.9541025161743164
1481,0.0007405,68,0.000102,0.7455568313598633
2497,0.0012485,107,0.0001605,1.0175719261169434
1867,0.0009335,103,0.0001545,1.1410105228424072
1972,0.000986,101,0.0001515,0.863987922668457
1788,0.000894,99,0.0001485,2.0940988063812256
1834,0.000917,99,0.0001485,1.27740478515625
1665,0.0008325,92,0.000138,1.0541715621948242
1608,0.000804,98,0.000147,1.0355329513549805
1552,0.000776,62,9.3e-05,1.0909135341644287
1612,0.000806,86,0.000129,0.7677135467529297
1575,0.0007875,100,0.00015,1.14365816116333
1634,0.000817,119,0.0001785,1.3841159343719482
11599,0.0057995,147,0.0002205,2.282921552658081
4178,0.002089,102,0.000153,1.0535640716552734
7456,0.003728,101,0.0001515,1.3129918575286865
1286,0.000643,70,0.000105,0.7119166851043701
4231,0.0021155,104,0.000156,1.1179285049438477
1308,0.000654,90,0.000135,1.0591521263122559
8948,0.004474,207,0.0003105,2.9470417499542236
3216,0.001608,121,0.0001815,1.0243072509765625
4341,0.0021705,97,0.0001455,0.9932734966278076
5287,0.0026435,89,0.0001335,0.9738748073577881
11140,0.00557,97,0.0001455,1.1610348224639893
8844,0.004422,126,0.000189,1.4548516273498535
11611,0.0058055,108,0.000162,1.852560043334961
3330,0.001665,121,0.0001815,1.2460734844207764
8579,0.0042895,123,0.0001845,1.748258352279663
6405,0.0032025,138,0.000207,1.3054840564727783
2602,0.001301,95,0.0001425,1.101942539215088
3602,0.001801,170,0.000255,1.8798763751983643
6639,0.0033195,90,0.000135,1.2806875705718994
7864,0.003932,119,0.0001785,1.2826454639434814
7881,0.0039405,142,0.000213,1.9809651374816895
8434,0.004217,94,0.000141,1.0707852840423584
6755,0.0033775,110,0.000165,1.4330039024353027
7220,0.00361,92,0.000138,12.40970230102539
1785,0.0008925,118,0.000177,1.294632911682129
3168,0.001584,129,0.0001935,1.1454951763153076
6385,0.0031925,109,0.0001635,1.0930638313293457
2688,0.001344,97,0.0001455,0.9952852725982666
2852,0.001426,127,0.0001905,1.0992181301116943
4312,0.002156,93,0.0001395,1.5815632343292236
2047,0.0010235,100,0.00015,0.9572877883911133
13022,0.006511,101,0.0001515,1.8790524005889893
2287,0.0011435,120,0.00018,1.0830130577087402
5378,0.002689,101,0.0001515,1.501725673675537
8843,0.0044215,155,0.0002325,2.3008439540863037
4731,0.0023655,107,0.0001605,1.456418514251709
2191,0.0010955,135,0.0002025,1.5474202632904053
2144,0.001072,95,0.0001425,1.197160005569458
6520,0.00326,112,0.000168,1.5432994365692139
4021,0.0020105,113,0.0001695,1.4938604831695557
5042,0.002521,108,0.000162,1.3316433429718018
2703,0.0013515,93,0.0001395,1.0942912101745605
1404,0.000702,62,9.3e-05,0.8514995574951172
1517,0.0007585,63,9.45e-05,1.0838205814361572
1526,0.000763,63,9.45e-05,0.9764502048492432
1542,0.000771,74,0.000111,0.8890011310577393
1422,0.000711,77,0.0001155,0.8222908973693848
1426,0.000713,83,0.0001245,0.8317596912384033
1523,0.0007615,112,0.000168,1.0081510543823242
1478,0.000739,86,0.000129,0.8527388572692871
1514,0.000757,62,9.3e-05,0.6853146553039551
1526,0.000763,63,9.45e-05,0.7303323745727539
1544,0.000772,86,0.000129,0.8674535751342773
1553,0.0007765,86,0.000129,0.9921061992645264
1518,0.000759,64,9.6e-05,0.8866081237792969
1410,0.000705,63,9.45e-05,0.8245446681976318
1454,0.000727,68,0.000102,0.8966000080108643
1542,0.000771,62,9.3e-05,0.6818780899047852
1415,0.0007075,83,0.0001245,0.852571964263916
1418,0.000709,74,0.000111,0.7862002849578857
1544,0.000772,112,0.000168,1.0252501964569092
1469,0.0007345,67,0.0001005,0.7254018783569336
1563,0.0007815,86,0.000129,0.9356544017791748
1408,0.000704,66,9.9e-05,0.6822879314422607
1559,0.0007795,62,9.3e-05,0.81681227684021
1673,0.0008365,86,0.000129,0.8424339294433594
1421,0.0007105,75,0.0001125,0.942457914352417
1410,0.000705,63,9.45e-05,0.8563783168792725
1545,0.0007725,86,0.000129,0.8357508182525635
1423,0.0007115,78,0.000117,0.7584917545318604
1523,0.0007615,63,9.45e-05,0.6949212551116943
1541,0.0007705,86,0.000129,0.8361399173736572
1405,0.0007025,63,9.45e-05,0.6720700263977051
1523,0.0007615,62,9.3e-05,0.684852123260498
1516,0.000758,63,9.45e-05,0.6992690563201904
1563,0.0007815,85,0.0001275,1.03086519241333
1406,0.000703,62,9.3e-05,0.8153672218322754
1559,0.0007795,86,0.000129,0.785114049911499
1707,0.0008535,62,9.3e-05,0.7470486164093018
1409,0.0007045,67,0.0001005,0.8399877548217773
1590,0.000795,64,9.6e-05,0.93074631690979
1531,0.0007655,85,0.0001275,1.8662045001983643
1435,0.0007175,63,9.45e-05,0.7786250114440918
1544,0.000772,101,0.0001515,1.0075645446777344
1449,0.0007245,62,9.3e-05,1.236358642578125
