token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1869,0.0046725,111,0.00111,1.1559288501739502
6346,0.015865,998,0.00998,21.591516971588135
3575,0.0089375,583,0.00583,12.379527568817139
2718,0.006795,683,0.00683,6.875594139099121
2450,0.006125,389,0.00389,4.230109691619873
1969,0.0049225,387,0.00387,8.421060562133789
1478,0.003695,95,0.00095,1.0833930969238281
1507,0.0037675,377,0.00377,4.100586652755737
1643,0.0041075,369,0.00369,4.014901399612427
2144,0.00536,355,0.00355,4.402563810348511
2270,0.005675,599,0.00599,7.002986192703247
3404,0.00851,581,0.00581,12.757389783859253
2005,0.0050125,398,0.00398,4.1696789264678955
2525,0.0063125,387,0.00387,3.7991769313812256
2517,0.0062925,109,0.00109,1.1841039657592773
2193,0.0054825,160,0.0016,2.1028101444244385
1847,0.0046175,321,0.00321,8.876011610031128
1818,0.004545,437,0.00437,4.24270486831665
1688,0.00422,111,0.00111,1.3788602352142334
2829,0.0070725,434,0.00434,12.00190258026123
2085,0.0052125,128,0.00128,1.426820993423462
2533,0.0063325,422,0.00422,5.565800428390503
2970,0.007425,418,0.00418,9.455192804336548
1672,0.00418,345,0.00345,4.345055103302002
2311,0.0057775,548,0.00548,4.370262861251831
4015,0.0100375,347,0.00347,7.561411380767822
3689,0.0092225,475,0.00475,10.896543741226196
1485,0.0037125,452,0.00452,3.784332275390625
2840,0.0071,412,0.00412,3.1319003105163574
1771,0.0044275,446,0.00446,4.151923894882202
3362,0.008405,429,0.00429,10.057657718658447
6189,0.0154725,418,0.00418,8.386205434799194
4051,0.0101275,402,0.00402,7.417637825012207
2562,0.006405,442,0.00442,4.883854866027832
1924,0.00481,321,0.00321,2.878110408782959
1718,0.004295,394,0.00394,10.466856241226196
2888,0.00722,436,0.00436,5.539210081100464
3502,0.008755,408,0.00408,8.773911714553833
3279,0.0081975,413,0.00413,4.993187665939331
2330,0.005825,431,0.00431,6.72548508644104
3010,0.007525,345,0.00345,4.31497597694397
2798,0.006995,473,0.00473,14.24385118484497
2151,0.0053775,278,0.00278,3.6494181156158447
2713,0.0067825,482,0.00482,5.0892157554626465
1845,0.0046125,405,0.00405,3.3925986289978027
1697,0.0042425,376,0.00376,3.707024097442627
1687,0.0042175,346,0.00346,3.8280441761016846
1895,0.0047375,361,0.00361,4.270988702774048
1605,0.0040125,308,0.00308,4.779360294342041
1860,0.00465,366,0.00366,5.831944465637207
1752,0.00438,385,0.00385,5.175806045532227
1638,0.004095,381,0.00381,6.035186767578125
1638,0.004095,319,0.00319,3.610116958618164
1537,0.0038425,397,0.00397,7.9203503131866455
1678,0.004195,308,0.00308,2.8923747539520264
1494,0.003735,88,0.00088,1.0814874172210693
1423,0.0035575,329,0.00329,3.849722146987915
1877,0.0046925,437,0.00437,4.114582300186157
1746,0.004365,351,0.00351,4.338790655136108
1651,0.0041275,78,0.00078,1.302025556564331
1941,0.0048525,492,0.00492,18.843106985092163
1756,0.00439,101,0.00101,2.9458582401275635
1617,0.0040425,100,0.001,1.2173256874084473
1733,0.0043325,104,0.00104,1.7487685680389404
1527,0.0038175,90,0.0009,1.5052604675292969
2030,0.005075,383,0.00383,4.227151155471802
1878,0.004695,180,0.0018,1.6425094604492188
1711,0.0042775,157,0.00157,1.8221962451934814
1434,0.003585,101,0.00101,1.0746264457702637
