token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1145,0.0005725,103,0.0001545,2.0714192390441895
1019,0.0005095,112,0.000168,1.8294715881347656
872,0.000436,103,0.0001545,1.7299995422363281
1010,0.000505,114,0.000171,1.7763826847076416
1083,0.0005415,145,0.0002175,2.340320587158203
1313,0.0006565,109,0.0001635,1.6412723064422607
1850,0.000925,105,0.0001575,1.5813813209533691
973,0.0004865,125,0.0001875,1.9298734664916992
942,0.000471,148,0.000222,1.4167799949645996
930,0.000465,125,0.0001875,2.361234664916992
958,0.000479,104,0.000156,1.4138202667236328
1059,0.0005295,123,0.0001845,1.7730419635772705
1217,0.0006085,96,0.000144,1.8647198677062988
1026,0.000513,128,0.000192,1.1737735271453857
1099,0.0005495,110,0.000165,1.1754977703094482
976,0.000488,107,0.0001605,0.9891283512115479
959,0.0004795,141,0.0002115,2.1850152015686035
1069,0.0005345,96,0.000144,1.5005207061767578
986,0.000493,106,0.000159,1.6658058166503906
900,0.00045,103,0.0001545,1.4920170307159424
919,0.0004595,114,0.000171,1.1308140754699707
1056,0.000528,124,0.000186,1.0555846691131592
973,0.0004865,103,0.0001545,0.9814815521240234
981,0.0004905,114,0.000171,2.06345272064209
907,0.0004535,103,0.0001545,1.0952856540679932
1163,0.0005815,86,0.000129,0.7803537845611572
943,0.0004715,125,0.0001875,1.1770274639129639
1297,0.0006485,126,0.000189,2.0712897777557373
1037,0.0005185,124,0.000186,1.0017187595367432
1073,0.0005365,134,0.000201,1.1764342784881592
962,0.000481,117,0.0001755,1.204094648361206
931,0.0004655,107,0.0001605,1.68772292137146
934,0.000467,107,0.0001605,0.9517273902893066
951,0.0004755,101,0.0001515,0.8726530075073242
1017,0.0005085,104,0.000156,0.9803054332733154
1014,0.000507,110,0.000165,1.4596986770629883
1475,0.0007375,188,0.000282,2.076901912689209
901,0.0004505,100,0.00015,1.0924930572509766
930,0.000465,93,0.0001395,1.0918419361114502
894,0.000447,104,0.000156,1.8750805854797363
905,0.0004525,105,0.0001575,1.060354232788086
993,0.0004965,103,0.0001545,0.8852815628051758
1083,0.0005415,97,0.0001455,1.6312658786773682
1013,0.0005065,116,0.000174,1.1494827270507812
1049,0.0005245,117,0.0001755,1.6861815452575684
914,0.000457,102,0.000153,1.4941744804382324
956,0.000478,114,0.000171,1.5600440502166748
888,0.000444,108,0.000162,1.5640604496002197
1174,0.000587,110,0.000165,1.0304021835327148
944,0.000472,103,0.0001545,1.2629997730255127
887,0.0004435,100,0.00015,1.1035130023956299
900,0.00045,106,0.000159,1.2417516708374023
948,0.000474,108,0.000162,1.402156114578247
924,0.000462,106,0.000159,1.1786396503448486
1000,0.0005,103,0.0001545,1.026458978652954
902,0.000451,102,0.000153,1.539043664932251
898,0.000449,117,0.0001755,1.6926696300506592
2074,0.001037,109,0.0001635,1.0621070861816406
1085,0.0005425,107,0.0001605,1.2842752933502197
926,0.000463,111,0.0001665,1.2709195613861084
966,0.000483,100,0.00015,1.0654499530792236
1067,0.0005335,112,0.000168,1.4879634380340576
923,0.0004615,106,0.000159,1.069807767868042
1098,0.000549,120,0.00018,1.2048206329345703
902,0.000451,113,0.0001695,4.594022274017334
892,0.000446,108,0.000162,1.2505009174346924
1181,0.0005905,95,0.0001425,1.2661235332489014
902,0.000451,108,0.000162,0.971747636795044
1053,0.0005265,104,0.000156,1.0901989936828613
900,0.00045,121,0.0001815,1.085998296737671
851,0.0004255,94,0.000141,1.1936819553375244
900,0.00045,95,0.0001425,1.086956262588501
937,0.0004685,115,0.0001725,1.990570306777954
927,0.0004635,100,0.00015,1.8230774402618408
1050,0.000525,108,0.000162,1.1059198379516602
981,0.0004905,97,0.0001455,1.3837084770202637
1003,0.0005015,107,0.0001605,1.1601359844207764
1100,0.00055,104,0.000156,1.169302225112915
981,0.0004905,90,0.000135,1.0971243381500244
1071,0.0005355,125,0.0001875,1.2392899990081787
1012,0.000506,109,0.0001635,1.416179895401001
944,0.000472,97,0.0001455,1.2711656093597412
910,0.000455,111,0.0001665,1.2820770740509033
911,0.0004555,99,0.0001485,1.0078766345977783
965,0.0004825,108,0.000162,1.305626392364502
990,0.000495,100,0.00015,1.5698468685150146
951,0.0004755,110,0.000165,1.4413208961486816
901,0.0004505,99,0.0001485,1.0219459533691406
1425,0.0007125,105,0.0001575,1.71602463722229
936,0.000468,92,0.000138,1.2783572673797607
2679,0.0013395,157,0.0002355,1.878075122833252
1086,0.000543,114,0.000171,1.244767189025879
1860,0.00093,113,0.0001695,1.5839543342590332
971,0.0004855,117,0.0001755,1.650538444519043
915,0.0004575,109,0.0001635,1.5649378299713135
965,0.0004825,101,0.0001515,1.1185622215270996
924,0.000462,102,0.000153,1.4186561107635498
1031,0.0005155,114,0.000171,1.2089753150939941
912,0.000456,96,0.000144,1.434807538986206
2087,0.0010435,124,0.000186,1.0862631797790527
1025,0.0005125,167,0.0002505,1.4136435985565186
1149,0.0005745,114,0.000171,1.2276663780212402
866,0.000433,102,0.000153,1.4322199821472168
1121,0.0005605,101,0.0001515,1.4535746574401855
956,0.000478,104,0.000156,0.9676797389984131
2200,0.0011,106,0.000159,1.0940885543823242
1102,0.000551,94,0.000141,1.4213192462921143
897,0.0004485,100,0.00015,1.3981928825378418
1016,0.000508,110,0.000165,1.0560822486877441
1139,0.0005695,103,0.0001545,1.5821256637573242
1018,0.000509,96,0.000144,1.2730627059936523
917,0.0004585,107,0.0001605,1.1630465984344482
1140,0.00057,113,0.0001695,1.301589012145996
918,0.000459,97,0.0001455,1.5034434795379639
1692,0.000846,117,0.0001755,0.963104248046875
946,0.000473,109,0.0001635,1.105088233947754
1148,0.000574,114,0.000171,1.3418290615081787
994,0.000497,117,0.0001755,1.4362866878509521
3118,0.001559,121,0.0001815,1.7807679176330566
1044,0.000522,99,0.0001485,0.9413108825683594
942,0.000471,108,0.000162,1.7160155773162842
1111,0.0005555,90,0.000135,0.9384829998016357
1881,0.0009405,122,0.000183,1.9007346630096436
996,0.000498,91,0.0001365,1.2452199459075928
986,0.000493,84,0.000126,1.1839756965637207
1225,0.0006125,103,0.0001545,1.0445172786712646
1089,0.0005445,95,0.0001425,1.0846507549285889
979,0.0004895,91,0.0001365,1.4133505821228027
1061,0.0005305,100,0.00015,0.9312491416931152
953,0.0004765,88,0.000132,1.4882347583770752
1508,0.000754,92,0.000138,1.6813890933990479
1012,0.000506,95,0.0001425,1.2950336933135986
1009,0.0005045,87,0.0001305,1.1876745223999023
1931,0.0009655,124,0.000186,1.3924624919891357
1013,0.0005065,100,0.00015,1.5397138595581055
980,0.00049,110,0.000165,1.726597785949707
1690,0.000845,99,0.0001485,1.0863587856292725
1022,0.000511,91,0.0001365,1.736238718032837
1167,0.0005835,146,0.000219,1.4985055923461914
909,0.0004545,92,0.000138,0.9286947250366211
1050,0.000525,96,0.000144,1.348095178604126
920,0.00046,91,0.0001365,1.5285513401031494
1061,0.0005305,101,0.0001515,1.5093927383422852
1103,0.0005515,89,0.0001335,0.8361294269561768
985,0.0004925,97,0.0001455,1.3577933311462402
945,0.0004725,97,0.0001455,1.4280238151550293
1314,0.000657,114,0.000171,1.1408321857452393
1021,0.0005105,91,0.0001365,1.4196703433990479
1774,0.000887,102,0.000153,1.43377685546875
965,0.0004825,97,0.0001455,1.1023414134979248
