token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
527,0.0002635,242,0.000363,2.173281192779541
401,0.0002005,256,0.000384,2.9270389080047607
254,0.000127,132,0.000198,1.3359229564666748
392,0.000196,249,0.0003735,2.2645580768585205
465,0.0002325,174,0.000261,2.0323522090911865
695,0.0003475,134,0.000201,1.7526702880859375
1232,0.000616,149,0.0002235,1.3356883525848389
355,0.0001775,148,0.000222,1.299811840057373
324,0.000162,215,0.0003225,1.7013263702392578
312,0.000156,162,0.000243,1.3921101093292236
340,0.00017,238,0.000357,1.89363694190979
441,0.0002205,236,0.000354,1.9589226245880127
599,0.0002995,158,0.000237,1.287079095840454
408,0.000204,146,0.000219,1.35129714012146
481,0.0002405,133,0.0001995,1.283278226852417
358,0.000179,227,0.0003405,2.4630181789398193
341,0.0001705,158,0.000237,1.3169987201690674
451,0.0002255,265,0.0003975,3.3578710556030273
368,0.000184,165,0.0002475,2.044607639312744
282,0.000141,120,0.00018,1.4895780086517334
301,0.0001505,157,0.0002355,1.417750597000122
438,0.000219,270,0.000405,2.2840018272399902
355,0.0001775,153,0.0002295,1.6157994270324707
363,0.0001815,224,0.000336,2.022995948791504
289,0.0001445,107,0.0001605,1.6477811336517334
545,0.0002725,267,0.0004005,2.2823946475982666
325,0.0001625,240,0.00036,2.74725079536438
679,0.0003395,245,0.0003675,3.4058992862701416
419,0.0002095,159,0.0002385,1.4989697933197021
455,0.0002275,144,0.000216,1.373903751373291
344,0.000172,138,0.000207,1.7704248428344727
313,0.0001565,115,0.0001725,1.6166718006134033
316,0.000158,154,0.000231,1.9867913722991943
333,0.0001665,153,0.0002295,1.393024206161499
399,0.0001995,162,0.000243,1.653494119644165
396,0.000198,137,0.0002055,1.7312288284301758
857,0.0004285,135,0.0002025,1.8851468563079834
283,0.0001415,152,0.000228,2.077558994293213
312,0.000156,93,0.0001395,1.3377177715301514
276,0.000138,115,0.0001725,1.4760992527008057
287,0.0001435,142,0.000213,1.5807161331176758
375,0.0001875,132,0.000198,1.6773369312286377
465,0.0002325,131,0.0001965,1.684751033782959
395,0.0001975,135,0.0002025,1.3641612529754639
431,0.0002155,138,0.000207,1.2809624671936035
296,0.000148,126,0.000189,2.196631908416748
338,0.000169,104,0.000156,1.5472056865692139
270,0.000135,173,0.0002595,3.3058526515960693
556,0.000278,167,0.0002505,1.7621793746948242
326,0.000163,200,0.0003,2.130680561065674
269,0.0001345,117,0.0001755,1.2661488056182861
282,0.000141,160,0.00024,1.7832422256469727
330,0.000165,165,0.0002475,2.845602035522461
306,0.000153,116,0.000174,1.5794525146484375
