token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
593,0.0002965,320,0.00048,4.131180763244629
467,0.0002335,147,0.0002205,1.3652317523956299
320,0.00016,279,0.0004185,3.814791679382324
458,0.000229,209,0.0003135,2.1843056678771973
531,0.0002655,346,0.000519,3.5633201599121094
761,0.0003805,334,0.000501,2.6562938690185547
1298,0.000649,459,0.0006885,5.345990419387817
421,0.0002105,316,0.000474,3.395425319671631
390,0.000195,304,0.000456,3.129563093185425
378,0.000189,225,0.0003375,2.1872293949127197
406,0.000203,285,0.0004275,3.3319129943847656
507,0.0002535,122,0.000183,1.0414657592773438
665,0.0003325,100,0.00015,1.6479625701904297
474,0.000237,129,0.0001935,1.709719181060791
547,0.0002735,354,0.000531,3.055798053741455
424,0.000212,286,0.000429,3.6443278789520264
407,0.0002035,270,0.000405,3.7282235622406006
517,0.0002585,111,0.0001665,1.5265514850616455
434,0.000217,332,0.000498,4.274903059005737
348,0.000174,275,0.0004125,2.4068009853363037
367,0.0001835,254,0.000381,2.1920886039733887
504,0.000252,125,0.0001875,1.4847617149353027
421,0.0002105,96,0.000144,1.4870989322662354
429,0.0002145,251,0.0003765,3.028627395629883
355,0.0001775,265,0.0003975,2.469297409057617
611,0.0003055,245,0.0003675,2.1084628105163574
391,0.0001955,251,0.0003765,3.2629213333129883
745,0.0003725,311,0.0004665,3.9125962257385254
485,0.0002425,132,0.000198,1.419234037399292
521,0.0002605,329,0.0004935,2.439152240753174
410,0.000205,117,0.0001755,1.2447724342346191
379,0.0001895,97,0.0001455,1.0182178020477295
382,0.000191,112,0.000168,1.1544358730316162
399,0.0001995,172,0.000258,2.819643974304199
465,0.0002325,268,0.000402,2.394315242767334
462,0.000231,113,0.0001695,0.9955205917358398
923,0.0004615,277,0.0004155,3.5537545680999756
349,0.0001745,103,0.0001545,1.0180904865264893
378,0.000189,263,0.0003945,2.1085963249206543
342,0.000171,215,0.0003225,3.0265278816223145
353,0.0001765,212,0.000318,1.8354854583740234
441,0.0002205,231,0.0003465,3.0338006019592285
531,0.0002655,116,0.000174,1.190446376800537
461,0.0002305,266,0.000399,2.2057626247406006
497,0.0002485,300,0.00045,3.8841817378997803
362,0.000181,268,0.000402,2.5237720012664795
404,0.000202,124,0.000186,1.3047568798065186
336,0.000168,185,0.0002775,2.4154648780822754
622,0.000311,130,0.000195,1.4064016342163086
392,0.000196,275,0.0004125,2.2770016193389893
335,0.0001675,204,0.000306,1.9191877841949463
348,0.000174,104,0.000156,1.406508207321167
396,0.000198,249,0.0003735,3.1662440299987793
372,0.000186,88,0.000132,0.978651762008667
448,0.000224,228,0.000342,3.056480646133423
350,0.000175,257,0.0003855,2.311316728591919
346,0.000173,275,0.0004125,2.319030523300171
1522,0.000761,143,0.0002145,1.8275353908538818
533,0.0002665,282,0.000423,2.7362570762634277
374,0.000187,110,0.000165,1.3690705299377441
414,0.000207,216,0.000324,1.701186180114746
515,0.0002575,348,0.000522,2.390178918838501
371,0.0001855,258,0.000387,1.9188129901885986
546,0.000273,260,0.00039,3.839104175567627
350,0.000175,250,0.000375,3.3291265964508057
340,0.00017,235,0.0003525,2.615938186645508
629,0.0003145,257,0.0003855,2.946857213973999
