token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
1334,0.000667,103,0.0001545,1.3084986209869385
1208,0.000604,114,0.000171,1.1810462474822998
1061,0.0005305,107,0.0001605,1.455998420715332
1199,0.0005995,106,0.000159,1.4229929447174072
1272,0.000636,141,0.0002115,1.0936903953552246
1502,0.000751,136,0.000204,1.9265382289886475
2039,0.0010195,104,0.000156,1.7662110328674316
1162,0.000581,122,0.000183,1.1497485637664795
1131,0.0005655,143,0.0002145,1.6360013484954834
1119,0.0005595,120,0.00018,2.1060843467712402
1147,0.0005735,100,0.00015,1.3963840007781982
1248,0.000624,126,0.000189,1.4379832744598389
1406,0.000703,104,0.000156,1.2865800857543945
1215,0.0006075,123,0.0001845,1.3623902797698975
1288,0.000644,103,0.0001545,1.2584006786346436
1165,0.0005825,106,0.000159,1.484215259552002
1148,0.000574,165,0.0002475,2.0489237308502197
1258,0.000629,99,0.0001485,1.5052502155303955
1175,0.0005875,105,0.0001575,1.845404863357544
1089,0.0005445,103,0.0001545,1.3357431888580322
1108,0.000554,105,0.0001575,1.1535580158233643
1245,0.0006225,121,0.0001815,1.9313678741455078
1162,0.000581,102,0.000153,1.0760133266448975
1170,0.000585,124,0.000186,2.052797317504883
1096,0.000548,105,0.0001575,1.1711857318878174
1352,0.000676,102,0.000153,1.6263210773468018
1132,0.000566,122,0.000183,1.4103267192840576
1486,0.000743,123,0.0001845,1.6090214252471924
1226,0.000613,124,0.000186,1.7319319248199463
1262,0.000631,130,0.000195,1.6499063968658447
1151,0.0005755,111,0.0001665,1.2657055854797363
1120,0.00056,94,0.000141,0.9437088966369629
1123,0.0005615,107,0.0001605,1.1327855587005615
1140,0.00057,96,0.000144,1.4519312381744385
1206,0.000603,100,0.00015,1.4756264686584473
1203,0.0006015,106,0.000159,1.622236967086792
1664,0.000832,122,0.000183,2.352113723754883
1090,0.000545,98,0.000147,0.9961957931518555
1119,0.0005595,94,0.000141,0.8962135314941406
1083,0.0005415,98,0.000147,1.3517186641693115
1094,0.000547,104,0.000156,1.5169415473937988
1182,0.000591,100,0.00015,1.5301051139831543
1272,0.000636,96,0.000144,1.2446315288543701
1202,0.000601,116,0.000174,1.2117228507995605
1238,0.000619,113,0.0001695,1.129446268081665
1103,0.0005515,102,0.000153,1.3745839595794678
1145,0.0005725,109,0.0001635,1.5453989505767822
1077,0.0005385,107,0.0001605,1.5379095077514648
1363,0.0006815,110,0.000165,1.6978421211242676
1133,0.0005665,98,0.000147,1.9940972328186035
1076,0.000538,94,0.000141,1.4780218601226807
1089,0.0005445,100,0.00015,0.8723969459533691
1137,0.0005685,108,0.000162,1.0087082386016846
1113,0.0005565,106,0.000159,1.4827635288238525
1189,0.0005945,100,0.00015,1.493201494216919
1091,0.0005455,101,0.0001515,1.3577613830566406
1087,0.0005435,116,0.000174,1.1475474834442139
2263,0.0011315,120,0.00018,1.7800965309143066
