token_input,cost_input(USD),token_output,cost_output(USD),latency(s)
706,0.000353,278,0.000417,2.810195207595825
580,0.00029,103,0.0001545,1.5937726497650146
433,0.0002165,270,0.000405,3.0880730152130127
571,0.0002855,209,0.0003135,2.5693860054016113
644,0.000322,140,0.00021,1.9658167362213135
874,0.000437,315,0.0004725,2.3684146404266357
1411,0.0007055,277,0.0004155,3.0588953495025635
534,0.000267,125,0.0001875,1.3420543670654297
503,0.0002515,148,0.000222,1.1514856815338135
491,0.0002455,123,0.0001845,1.2604801654815674
519,0.0002595,98,0.000147,1.4949004650115967
620,0.00031,102,0.000153,1.620133876800537
778,0.000389,416,0.000624,2.788330078125
587,0.0002935,124,0.000186,1.0793886184692383
660,0.00033,295,0.0004425,3.142744541168213
537,0.0002685,100,0.00015,0.8909025192260742
520,0.00026,134,0.000201,1.7538871765136719
630,0.000315,97,0.0001455,0.8268496990203857
547,0.0002735,97,0.0001455,0.9602780342102051
461,0.0002305,265,0.0003975,2.331024646759033
480,0.00024,101,0.0001515,1.2636964321136475
617,0.0003085,280,0.00042,4.5465638637542725
534,0.000267,96,0.000144,1.7235753536224365
542,0.000271,288,0.000432,2.322632312774658
468,0.000234,98,0.000147,1.2655723094940186
724,0.000362,106,0.000159,1.3645660877227783
504,0.000252,125,0.0001875,1.5037651062011719
858,0.000429,317,0.0004755,2.484553098678589
598,0.000299,121,0.0001815,1.3954119682312012
634,0.000317,279,0.0004185,2.9520552158355713
523,0.0002615,105,0.0001575,1.1089255809783936
492,0.000246,82,0.000123,1.5068385601043701
495,0.0002475,106,0.000159,1.596662998199463
512,0.000256,306,0.000459,2.201319456100464
578,0.000289,260,0.00039,1.773181438446045
575,0.0002875,102,0.000153,1.016632080078125
1036,0.000518,290,0.000435,3.771087408065796
462,0.000231,251,0.0003765,2.117053270339966
491,0.0002455,82,0.000123,0.8844594955444336
455,0.0002275,90,0.000135,1.234976053237915
466,0.000233,91,0.0001365,1.5167953968048096
554,0.000277,97,0.0001455,0.9066247940063477
644,0.000322,217,0.0003255,2.7271945476531982
574,0.000287,100,0.00015,1.285445213317871
610,0.000305,107,0.0001605,1.0173976421356201
475,0.0002375,106,0.000159,1.5937244892120361
517,0.0002585,95,0.0001425,0.9983718395233154
449,0.0002245,262,0.000393,2.1828463077545166
735,0.0003675,285,0.0004275,2.046506881713867
505,0.0002525,84,0.000126,0.9668979644775391
448,0.000224,233,0.0003495,2.6675403118133545
461,0.0002305,99,0.0001485,0.936392068862915
509,0.0002545,299,0.0004485,2.7168538570404053
485,0.0002425,93,0.0001395,1.3913030624389648
561,0.0002805,110,0.000165,1.0080220699310303
463,0.0002315,302,0.000453,2.395106315612793
459,0.0002295,271,0.0004065,4.303913116455078
1635,0.0008175,152,0.000228,2.3258259296417236
646,0.000323,98,0.000147,1.6827671527862549
487,0.0002435,111,0.0001665,1.8461177349090576
527,0.0002635,197,0.0002955,2.0848069190979004
628,0.000314,134,0.000201,1.718384027481079
484,0.000242,109,0.0001635,1.121065616607666
659,0.0003295,113,0.0001695,1.6504664421081543
463,0.0002315,278,0.000417,2.80941104888916
453,0.0002265,215,0.0003225,1.6205494403839111
742,0.000371,226,0.000339,1.8239495754241943
463,0.0002315,250,0.000375,1.9712960720062256
614,0.000307,285,0.0004275,3.740462064743042
461,0.0002305,285,0.0004275,2.160186290740967
412,0.000206,241,0.0003615,2.5967154502868652
461,0.0002305,95,0.0001425,0.8551914691925049
498,0.000249,94,0.000141,1.4557223320007324
488,0.000244,94,0.000141,0.8861844539642334
611,0.0003055,256,0.000384,2.8305437564849854
542,0.000271,91,0.0001365,0.8222098350524902
564,0.000282,93,0.0001395,1.2564444541931152
661,0.0003305,324,0.000486,2.1579818725585938
542,0.000271,88,0.000132,1.0064365863800049
632,0.000316,251,0.0003765,2.0301120281219482
573,0.0002865,98,0.000147,1.0900204181671143
505,0.0002525,255,0.0003825,2.754539966583252
471,0.0002355,262,0.000393,1.8670973777770996
472,0.000236,232,0.000348,1.9249427318572998
526,0.000263,97,0.0001455,1.0326273441314697
551,0.0002755,85,0.0001275,0.9149937629699707
512,0.000256,97,0.0001455,0.8765232563018799
462,0.000231,105,0.0001575,1.2871372699737549
986,0.000493,287,0.0004305,3.6528587341308594
497,0.0002485,231,0.0003465,2.178679943084717
2240,0.00112,237,0.0003555,2.0257458686828613
647,0.0003235,101,0.0001515,1.3414106369018555
1421,0.0007105,108,0.000162,1.2104816436767578
532,0.000266,116,0.000174,0.958193302154541
476,0.000238,103,0.0001545,0.9579477310180664
526,0.000263,92,0.000138,1.0426650047302246
485,0.0002425,100,0.00015,1.0980827808380127
592,0.000296,106,0.000159,1.4646484851837158
473,0.0002365,301,0.0004515,3.2436699867248535
1648,0.000824,360,0.00054,2.535064458847046
586,0.000293,132,0.000198,1.7255563735961914
710,0.000355,297,0.0004455,2.0197391510009766
427,0.0002135,303,0.0004545,3.7645115852355957
682,0.000341,265,0.0003975,2.1762518882751465
517,0.0002585,332,0.000498,2.192068338394165
1761,0.0008805,286,0.000429,3.4347105026245117
663,0.0003315,102,0.000153,1.4183146953582764
458,0.000229,263,0.0003945,2.9836819171905518
577,0.0002885,103,0.0001545,0.9886531829833984
700,0.00035,256,0.000384,2.198542594909668
579,0.0002895,97,0.0001455,1.2744817733764648
478,0.000239,247,0.0003705,2.6137521266937256
701,0.0003505,427,0.0006405,4.146123886108398
479,0.0002395,87,0.0001305,1.3854255676269531
1253,0.0006265,268,0.000402,2.0724151134490967
507,0.0002535,288,0.000432,2.0625064373016357
709,0.0003545,108,0.000162,1.613480567932129
555,0.0002775,249,0.0003735,3.1041839122772217
2679,0.0013395,268,0.000402,2.20104718208313
605,0.0003025,297,0.0004455,2.5452003479003906
503,0.0002515,85,0.0001275,1.4375433921813965
672,0.000336,210,0.000315,1.8616490364074707
1442,0.000721,361,0.0005415,2.675464630126953
557,0.0002785,93,0.0001395,0.944249153137207
547,0.0002735,216,0.000324,2.0351202487945557
786,0.000393,284,0.000426,2.5111799240112305
650,0.000325,297,0.0004455,3.8788537979125977
540,0.00027,89,0.0001335,0.9311034679412842
622,0.000311,102,0.000153,1.0970890522003174
514,0.000257,224,0.000336,2.897531270980835
1069,0.0005345,107,0.0001605,1.2576534748077393
573,0.0002865,96,0.000144,1.4737937450408936
570,0.000285,88,0.000132,1.373671531677246
1492,0.000746,290,0.000435,2.9569008350372314
