dataset,model,prompt_type,user_symptom_category_precision,user_symptom_category_recall,user_symptom_category_f1
aws,gpt-3.5,0,0.8783,0.89,0.8649
aws,gpt-3.5,1,0.8944,0.835,0.8455
aws,gpt-4o,0,0.8517,0.9117,0.861
aws,gpt-4o,1,0.8811,0.9161,0.8833
aws,claude-3-5,0,0.6338,0.905,0.7069
aws,claude-3-5,1,0.8222,0.9022,0.839
aws,claude-4,0,0.8937,0.9011,0.8823
aws,claude-4,1,0.8903,0.9272,0.8908
aws,gemini-2.0,0,0.795,0.8983,0.8194
aws,gemini-2.0,1,0.84,0.9056,0.8489
aws,gemini-2.5,0,0.8592,0.9294,0.8725
aws,gemini-2.5,1,0.8703,0.9228,0.8768
azure,gpt-3.5,0,0.7351,0.6289,0.6313
azure,gpt-3.5,1,0.6772,0.6298,0.6348
azure,gpt-4o,0,0.7079,0.8439,0.7371
azure,gpt-4o,1,0.7579,0.7289,0.7189
azure,claude-3-5,0,0.5991,0.8342,0.6571
azure,claude-3-5,1,0.614,0.7974,0.6505
azure,claude-4,0,0.7649,0.7667,0.7415
azure,claude-4,1,0.7895,0.7825,0.768
azure,gemini-2.0,0,0.5937,0.7395,0.6313
azure,gemini-2.0,1,0.7781,0.8237,0.7756
azure,gemini-2.5,0,0.6812,0.8675,0.722
azure,gemini-2.5,1,0.733,0.8482,0.7602
gcp,gpt-3.5,0,0.5783,0.5306,0.5297
gcp,gpt-3.5,1,0.6419,0.6202,0.6101
gcp,gpt-4o,0,0.5642,0.6411,0.5788
gcp,gpt-4o,1,0.6786,0.7039,0.6751
gcp,claude-3-5,0,0.4889,0.6473,0.5266
gcp,claude-3-5,1,0.6576,0.7244,0.6631
gcp,claude-4,0,0.6964,0.6829,0.6746
gcp,claude-4,1,0.7236,0.7213,0.7097
gcp,gemini-2.0,0,0.6157,0.6806,0.6227
gcp,gemini-2.0,1,0.6774,0.7217,0.6793
gcp,gemini-2.5,0,0.5996,0.719,0.6189
gcp,gemini-2.5,1,0.7166,0.7795,0.7232
